strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,cost_scenario_name,description
v8_a_flat_1_0__base_cost,Q,2024Q3,100331.6865573549,101264.8202350897,0.009300488307862453,5,0.6,-0.0014371206661497604,7.422270571717025,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2025Q1,101264.8202350897,102547.44650299712,0.012666059791838435,5,0.4,-0.0023473075989079994,4.431731657225953,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2025Q2,102547.44650299712,101846.91760140957,-0.006831266164848637,3,0.0,-0.006831266164848637,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2025Q3,101846.91760140957,101561.5777918767,-0.002801653857111175,1,0.0,-0.002801653857111175,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2025Q4,101561.5777918767,102133.82386810347,0.005634474066555262,6,0.16666666666666666,-0.005292647888934465,1.792345535191701,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2026Q1,102133.82386810347,103591.16209124947,0.014268908848728001,6,0.16666666666666666,-0.008521878234096003,2.6367617286583536,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2026Q2,103591.16209124947,103502.07076293645,-0.0008600282737879494,1,0.0,-0.0008600282737879494,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2021Q2,100000.0,99950.4615146751,-0.0004953848532489591,1,0.0,-0.0004953848532489591,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2021Q4,99950.4615146751,100136.97870348394,0.001866096323941857,1,1.0,0.0,999.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2022Q1,100136.97870348394,100101.33319393596,-0.00035596749581912057,6,0.3333333333333333,-0.006784123365419781,0.9652045186335352,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2022Q2,100101.33319393596,100745.41869510403,0.006434334894623417,3,0.3333333333333333,-0.0014881486731798121,5.3237177914992815,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2022Q3,100745.41869510403,100612.14793013413,-0.001322846901587016,7,0.42857142857142855,-0.00358978131664045,0.7968732878853516,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2022Q4,100612.14793013413,100458.09908140605,-0.0015311157936420683,2,0.0,-0.0015311157936420683,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2023Q1,100458.09908140605,100392.72152146454,-0.0006507943166287333,1,0.0,-0.0006507943166287333,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2023Q2,100392.72152146454,100249.45453130789,-0.0014270655081904948,1,0.0,-0.0014270655081904948,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
