split_label,sample_type,strategy_name,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2024_test,train,v7_b_strong_1_0_weak_0_5,0.0034298785593087633,0.0008476623358522062,-0.005536203959871977,1.2160333785911668,23,0.03728637308349161,0.34782608695652173,0.06016280998619976,0.009707398598733919,0.15311255546152389
2024_test,train,v7_c_strong_1_25_weak_0_5,0.004075585709512275,0.0010069988399250551,-0.006534764223191547,1.2212486597432046,23,0.03728637308349161,0.34782608695652173,0.05951983119434094,0.00934086711507817,0.15409872575834752
2024_test,train,v7_d_strong_1_5_weak_0_5,0.00471478654734403,0.0011646538971257225,-0.008040541366860499,1.2248147682542458,23,0.03728637308349161,0.34782608695652173,0.05882725867677299,0.008987732640195041,0.14484769668941733
2025_test,test,v7_a_flat_1_0,0.008581495834351083,0.0086110917767932,-0.012636734970622787,1.4174206762919515,15,0.11654391348487937,0.2,0.17962723052535662,0.07971997224668627,0.6814332813667305
2025_test,test,v7_b_strong_1_0_weak_0_5,0.007311118450315401,0.00733631718507155,-0.00762489345413131,1.472608059548543,15,0.11654391348487937,0.2,0.19108859169682607,0.10989925841025137,0.9621534030874355
2025_test,test,v7_c_strong_1_25_weak_0_5,0.00878594289836565,0.008816247016828704,-0.008538777897110772,1.4850799140108866,15,0.11654391348487937,0.2,0.19092431739713187,0.10763564929655828,1.0324951794110746
2025_test,test,v7_d_strong_1_5_weak_0_5,0.010250500681745045,0.010285881996594304,-0.010499168573949946,1.4935403254099002,15,0.11654391348487937,0.2,0.1900430078439669,0.10314305909914187,0.9796853840517582
2025_test,train,v7_a_flat_1_0,0.012648202350897142,0.0024953906969198414,-0.007798338629792845,1.526887925500106,30,0.08475237260867526,0.36666666666666664,0.13584678923904223,0.022092175076911646,0.31999004087696675
2025_test,train,v7_b_strong_1_0_weak_0_5,0.012571987096281045,0.0024804290502311588,-0.005889215517057456,1.7195642229232038,30,0.08475237260867526,0.36666666666666664,0.15875978592979265,0.028706935464119104,0.4211815721545379
2025_test,train,v7_c_strong_1_25_weak_0_5,0.015685255808045362,0.0030908544559578033,-0.0076100444418849555,1.7751438358734863,30,0.08475237260867526,0.36666666666666664,0.1623218301673154,0.02912285080145068,0.4061545868176586
2025_test,train,v7_d_strong_1_5_weak_0_5,0.01879678689718589,0.003699442197285796,-0.009328710398091578,1.8170392555261567,30,0.08475237260867526,0.36666666666666664,0.16433480326753036,0.02909526565128354,0.3965652313574457
2026_test,test,v7_a_flat_1_0,0.013396608909893803,0.03249458411456141,-0.009374577451657151,2.396925354750747,7,0.38792047261883394,0.14285714285714285,0.36650800863049476,0.3518221836173827,3.4662452022109345
2026_test,test,v7_b_strong_1_0_weak_0_5,0.01504138492312257,0.03652598528680295,-0.007766759822530833,2.8931192540249637,7,0.38792047261883394,0.14285714285714285,0.4120512844209623,0.40193682511368045,4.702860152935797
2026_test,test,v7_c_strong_1_25_weak_0_5,0.019166407353045534,0.0466769278314898,-0.009299726322286372,3.003400272855585,7,0.38792047261883394,0.14285714285714285,0.4210607021838944,0.39751754715025356,5.019172200759356
2026_test,test,v7_d_strong_1_5_weak_0_5,0.02327547352711079,0.056846075011149244,-0.010831085592504452,3.077324926278106,7,0.38792047261883394,0.14285714285714285,0.42704447080019353,0.3924952255529308,5.248418962775903
2026_test,train,v7_a_flat_1_0,0.021338238681034793,0.003500358967674755,-0.012636734970622787,1.4760459787038895,45,0.09534955290074332,0.3111111111111111,0.13618782371071372,0.03084712725888702,0.27699868485112683
2026_test,train,v7_b_strong_1_0_weak_0_5,0.019975020833413515,0.0032785683895311113,-0.0076248934541310875,1.6028214666214162,45,0.09534955290074332,0.3111111111111111,0.15510672229049235,0.040124367685755516,0.429982190473077
2026_test,train,v7_c_strong_1_25_weak_0_5,0.024609008468287064,0.00403149558368443,-0.00853877789711055,1.6370152251235257,45,0.09534955290074332,0.3111111111111111,0.15758107959063475,0.04025382904627017,0.47213964717932927
2026_test,train,v7_d_strong_1_5_weak_0_5,0.0292399640558354,0.004781096554326458,-0.010499168573949835,1.662051383897669,45,0.09534955290074332,0.3111111111111111,0.15876535108705417,0.03975210951651901,0.455378587423498
