split_label,sample_type,strategy_name,schedule_name,cost_scenario_name,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2023_test,test,v8_f_strong_1_5_weak_0_75__stress_cost_1_5x,v8_f_strong_1_5_weak_0_75,stress_cost_1_5x,-0.0025872184636565043,-0.002596091599750716,-0.0025872184636565043,0.0,2,-0.20971578979643846,0.0,-0.5019104474306564,-0.03064660213446953,-1.0034296045033906
2023_test,test,v8_a_flat_1_0__stress_cost_2_0x,v8_a_flat_1_0,stress_cost_2_0x,-0.002236402321642683,-0.00224407365103807,-0.002236402321642683,0.0,2,-0.2237558948876419,0.0,-0.55684146521928,-0.06331738244256264,-1.003430209905055
2023_test,test,v8_b_strong_1_0_weak_0_5__stress_cost_2_0x,v8_b_strong_1_0_weak_0_5,stress_cost_2_0x,-0.0018317339149165335,-0.0018380184255759602,-0.0018317339149165335,0.0,2,-0.2237558948876419,0.0,-0.5044181661013926,-0.0312865668379809,-1.003430908063802
2023_test,test,v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,-0.0021883557135600196,-0.0021958624144252648,-0.0021883557135600196,0.0,2,-0.2237558948876419,0.0,-0.4887047517336193,-0.027705122124938805,-1.0034302928078513
2023_test,test,v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,-0.0025449775122032836,-0.002553705964075337,-0.0025449775122032836,0.0,2,-0.2237558948876419,0.0,-0.4772107862141709,-0.02559627708289855,-1.0034296774058709
2023_test,test,v8_e_strong_1_25_weak_0_75__stress_cost_2_0x,v8_e_strong_1_25_weak_0_75,stress_cost_2_0x,-0.00239061762772097,-0.002398817311816792,-0.00239061762772097,0.0,2,-0.2237558948876419,0.0,-0.5183003232475429,-0.03548511013289319,-1.0034299437939136
2023_test,test,v8_f_strong_1_5_weak_0_75__stress_cost_2_0x,v8_f_strong_1_5_weak_0_75,stress_cost_2_0x,-0.0027471671371621653,-0.0027565880755380245,-0.0027471671371621653,0.0,2,-0.2237558948876419,0.0,-0.5044181661014049,-0.03128656683798416,-1.0034293284337956
2023_test,train,v8_a_flat_1_0__base_cost,v8_a_flat_1_0,base_cost,0.006750921110907138,0.0022144086606337154,-0.007798338629792845,1.3505872417835525,21,0.06510582278405533,0.42857142857142855,0.10865194296047945,0.01845524707318095,0.2839590284235373
2023_test,train,v8_b_strong_1_0_weak_0_5__base_cost,v8_b_strong_1_0_weak_0_5,base_cost,0.005651289196250797,0.001854393009334876,-0.005536203959871977,1.4097327534716793,21,0.06510582278405533,0.42857142857142855,0.11401609978134754,0.0199904636261966,0.3349574948423248
2023_test,train,v8_c_strong_1_25_weak_0_5__base_cost,v8_c_strong_1_25_weak_0_5,base_cost,0.006770157873700278,0.0022207043599367093,-0.006352095665068891,1.4258436323817523,21,0.06510582278405533,0.42857142857142855,0.11352341893383934,0.019268152117884137,0.3496018443407094
