strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,exit_rule_name,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee,signal_time,is_strong_regime,risk_schedule_name,risk_multiplier,cost_scenario_name
v5_a_baseline,2022-09-02 20:00:00+00:00,19905.81804,2022-09-05 00:00:00+00:00,20004.70014,20808.566760872614,0.838049148806229,16682.053864713675,0.1102511561620304,756.5477971132079,-96.24685005284036,-0.12721846579964097,close_above_ema21,ema21_reclaim,14,2.333333333333333,2022-09-02 16:00:00+00:00,5950,5963,5949,100873.03961509439,100776.79276504155,6.672821545885472,6.705968769780341,2022-09-02 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-09-06 16:00:00+00:00,19818.635479999997,2022-09-08 20:00:00+00:00,19355.07024,20448.12240326206,0.40023386126437094,7932.089003151459,0.1574189609634614,251.9419819126039,179.2630485530034,0.7115251185695122,close_above_ema21,ema21_reclaim,14,2.333333333333333,2022-09-06 12:00:00+00:00,5973,5986,5972,100776.79276504155,100956.05581359456,3.1728356012605836,3.0986217988793263,2022-09-06 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2022-09-20 04:00:00+00:00,19355.1282,2022-09-22 12:00:00+00:00,19232.945819999997,20448.90247991274,0.6922547297988803,13398.679042313688,0.08847862193991303,757.1704186019592,73.89621975141579,0.09759522814937474,close_above_ema21,ema21_reclaim,15,2.5,2022-09-20 00:00:00+00:00,6054,6068,6053,100956.05581359456,101029.95203334598,5.359471616925476,5.325639084744242,2022-09-20 00:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-09-27 20:00:00+00:00,19074.48434,2022-09-28 16:00:00+00:00,19493.898,20827.11313844862,0.14411202207046755,2748.8625081888677,0.05441678339670155,252.57488008336495,-62.66581765337758,-0.24810787847427299,close_above_ema21,ema21_reclaim,6,1.0,2022-09-27 16:00:00+00:00,6100,6105,6099,101029.95203334598,100967.2862156926,1.0995450032755472,1.1237220235261776,2022-09-27 16:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2022-09-29 16:00:00+00:00,19286.142,2022-09-29 20:00:00+00:00,19408.680959999998,20225.71326361345,0.8059576489231993,15543.813663118968,0.10263267272472991,757.2546466176946,-111.2357675184288,-0.1468934763428226,close_above_ema21,ema21_reclaim,2,0.3333333333333333,2022-09-29 12:00:00+00:00,6111,6112,6110,100967.2862156926,100856.05044817417,6.217525465247587,6.257029950088825,2022-09-29 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-10-14 16:00:00+00:00,19358.02762,2022-10-16 20:00:00+00:00,19381.77558,20259.72132039023,0.8388883919605392,16239.224661669505,0.10734259101301469,756.4203783613062,-32.921236461270006,-0.04352240817809524,close_above_ema21,ema21_reclaim,14,2.333333333333333,2022-10-14 12:00:00+00:00,6201,6214,6200,100856.05044817417,100823.12921171289,6.495689864667802,6.5036586198585,2022-10-14 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-11-14 16:00:00+00:00,16596.58002,2022-11-15 04:00:00+00:00,16827.56484,17707.494949129574,0.2268921016542422,3765.632921010605,0.07469779901600478,252.05782302928222,-55.44210104933884,-0.2199578667427354,close_above_ema21,ema21_reclaim,4,0.6666666666666666,2022-11-14 12:00:00+00:00,6387,6390,6386,100823.12921171289,100767.68711066355,1.506253168404242,1.5272166209082527,2022-11-14 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2022-12-28 16:00:00+00:00,16574.98434,2023-01-01 20:00:00+00:00,16607.120759999998,17073.505639013132,1.5159987242793147,25127.655114389614,0.16624148629969912,755.7576533299766,-68.84038332310345,-0.0910879076378292,close_above_ema21,ema21_reclaim,26,4.333333333333333,2022-12-28 12:00:00+00:00,6651,6676,6650,100767.68711066355,100698.84672734045,10.051062045755845,10.070549554445007,2022-12-28 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2023-06-13 16:00:00+00:00,25755.64784,2023-06-14 04:00:00+00:00,25993.39764,26764.810969334798,0.7483838127864234,19275.109931283612,0.12760894196053907,755.2413504550534,-193.4193609989601,-0.25610271588336586,close_above_ema21,ema21_reclaim,4,0.6666666666666666,2023-06-13 12:00:00+00:00,7653,7656,7652,100698.84672734045,100505.4273663415,7.710043972513444,7.781215213238728,2023-06-13 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2023-08-24 16:00:00+00:00,25999.699020000004,2023-08-27 16:00:00+00:00,26131.2252,27127.493753059556,0.222791932831793,5792.523197710676,0.11526786860170195,251.26356841585374,-33.94871160709428,-0.13511195363948453,close_above_ema21,ema21_reclaim,19,3.1666666666666665,2023-08-24 12:00:00+00:00,8085,8103,8084,100505.4273663415,100471.4786547344,2.3170092790842705,2.328730467828343,2023-08-24 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2024-05-10 16:00:00+00:00,60907.91598,2024-05-13 00:00:00+00:00,61484.19438,64521.86464886527,0.20850769032840422,12699.768883706301,0.08426782110206932,753.536089910508,-130.36635666838194,-0.17300612195477538,close_above_ema21,ema21_reclaim,15,2.5,2024-05-10 12:00:00+00:00,9645,9659,9644,100471.4786547344,100341.11229806601,5.0799075534825215,5.127970944750581,2024-05-10 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2024-05-14 08:00:00+00:00,62010.99532,2024-05-15 04:00:00+00:00,61962.39,64318.69893604705,0.10870233898357384,6740.740233983452,0.13435649814125836,250.85278074516503,-0.10696681135300233,-0.0004264126992543375,close_above_ema21,ema21_reclaim,6,1.0,2024-05-14 04:00:00+00:00,9667,9672,9666,100341.11229806601,100341.00533125467,2.696296093593381,2.6941826888049625,2024-05-14 04:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
