编号,币种,策略,方向,本波第几次,开仓时间,开仓价,平仓时间,平仓价,成交数量,名义仓位,风险金额,手续费,滑点成本,盈亏,累计利润,收益率,R倍数,平仓原因,资金占用前权益,平仓后权益,费率口径
4897,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-01-15 11:00:00,96.66,2024-01-15 17:00:00,94.78,52.08,5034.05,99.99,2.79,1.56,-100.7,44711.37,-0.18,-1.0071,止损,54812.08,54711.38,开仓 Maker / 平仓 Taker
4892,ETH,ETH 均线斜率做空 最佳参数,空头,0,2024-01-14 08:00:00,2563.78,2024-01-15 18:00:00,2535.9,2.5,6409.45,99.75,4.59,3.85,65.11,44776.48,0.12,0.6527,斜率转正平仓,54939.43,54776.49,双边 Taker
4899,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-15 14:00:00,0.08125,2024-01-15 22:00:00,0.08044,128205.12,10416.67,100.0,3.93,3.85,-107.78,44668.7,-0.2,-1.0778,止损,54812.08,54668.72,开仓 Maker / 平仓 Taker
4898,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-15 12:00:00,0.08148,2024-01-16 01:00:00,0.08089,60240.96,4908.43,100.0,3.52,3.61,32.02,44700.72,0.06,0.3202,斜率转正平仓,54812.08,54700.74,双边 Taker
4888,BTC,BTC 均线斜率做空 最佳参数,空头,0,2024-01-12 22:00:00,45446.1,2024-01-16 02:00:00,43025.4,0.1,4544.61,98.25,3.18,2.67,238.89,44939.61,0.43,2.4314,斜率转正平仓,54968.05,54939.62,双边 Taker
4896,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-15 07:00:00,93.8,2024-01-16 03:00:00,96.05,25.77,2417.23,99.99,1.76,1.55,-59.74,44879.87,-0.11,-0.5975,斜率转正平仓,54859.59,54879.88,双边 Taker
4900,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-16 05:00:00,0.08101,2024-01-16 06:00:00,0.08034,156250.0,12657.81,100.0,4.78,4.69,-109.47,44770.4,-0.2,-1.0947,止损,54879.88,54770.41,开仓 Maker / 平仓 Taker
4901,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-16 05:00:00,94.54,2024-01-16 11:00:00,96.23,35.21,3328.75,100.0,2.42,2.11,-61.92,44708.48,-0.11,-0.6193,斜率转正平仓,54879.88,54708.49,双边 Taker
4902,DOGE,DOGE 动态委托做多 最佳参数,多头,2,2024-01-16 09:00:00,0.08113,2024-01-16 13:00:00,0.08045,153846.15,12481.54,100.0,4.71,4.62,-109.33,44599.15,-0.2,-1.0933,止损,54770.41,54599.16,开仓 Maker / 平仓 Taker
4903,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-16 19:00:00,0.08155,2024-01-16 21:00:00,0.08089,158730.15,12944.44,100.0,4.89,4.76,-109.65,44489.5,-0.2,-1.0965,止损,54599.16,54489.51,开仓 Maker / 平仓 Taker
4904,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-01-16 19:00:00,96.31,2024-01-16 22:00:00,95.11,85.47,8231.62,100.0,3.1,2.56,-105.66,44383.84,-0.19,-1.0566,止损,54599.16,54383.84,开仓 Maker / 平仓 Taker
4907,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-17 06:00:00,0.08145,2024-01-17 13:00:00,0.08077,153846.15,12530.77,100.0,4.73,4.62,-109.35,44274.49,-0.2,-1.0935,止损,54383.84,54274.5,开仓 Maker / 平仓 Taker
4908,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-17 14:00:00,0.08069,2024-01-17 18:00:00,0.08106,93457.94,7541.12,100.0,5.44,5.61,-40.02,44234.47,-0.07,-0.4002,斜率转正平仓,54274.5,54234.48,双边 Taker
4909,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-01-17 16:00:00,2551.14,2024-01-18 00:00:00,2526.22,4.13,10536.21,99.78,3.97,3.14,-106.89,44127.58,-0.2,-1.0713,止损,54274.5,54127.58,开仓 Maker / 平仓 Taker
4910,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-17 22:00:00,0.08019,2024-01-18 13:00:00,0.08066,88495.57,7096.46,100.0,5.12,5.31,-46.72,44080.86,-0.09,-0.4672,斜率转正平仓,54234.48,54080.86,双边 Taker
4911,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-18 09:00:00,0.08055,2024-01-18 18:00:00,0.08,192307.69,15490.38,100.0,5.86,5.77,-111.63,43969.23,-0.21,-1.1163,止损,54127.58,53969.24,开仓 Maker / 平仓 Taker
4905,SOL,SOL 动态委托做多 最佳参数,多头,2,2024-01-17 01:00:00,96.57,2024-01-18 20:00:00,97.95,74.07,7152.94,99.99,2.75,2.22,99.47,44068.7,0.18,0.9948,1R,54383.84,54068.71,开仓 Maker / 平仓 Taker
4913,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-01-18 23:00:00,99.23,2024-01-18 23:00:00,98.23,71.94,7138.61,100.0,3.98,2.16,-75.92,43992.78,-0.14,-0.7592,止损,54068.71,53992.79,开仓 Maker / 平仓 Taker
4906,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-01-17 02:00:00,42896.8,2024-01-19 00:00:00,42153.6,0.13,5576.58,94.97,2.09,1.65,-98.71,43894.07,-0.18,-1.0394,止损,54383.84,53894.08,开仓 Maker / 平仓 Taker
4916,ETH,ETH 均线斜率做空 最佳参数,空头,0,2024-01-19 03:00:00,2438.66,2024-01-19 18:00:00,2486.4,2.16,5267.51,99.9,3.83,3.22,-106.95,43787.12,-0.2,-1.0706,止损,53894.08,53787.13,双边 Taker
4917,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-19 18:00:00,0.07817,2024-01-19 23:00:00,0.07751,158730.15,12407.94,100.0,4.69,4.76,-109.45,43677.67,-0.2,-1.0945,止损,53787.13,53677.69,开仓 Maker / 平仓 Taker
4914,BTC,BTC 均线斜率做空 最佳参数,空头,0,2024-01-19 00:00:00,41947.8,2024-01-20 03:00:00,41832.7,0.18,7550.6,98.8,5.43,4.54,15.29,43692.96,0.03,0.1547,斜率转正平仓,53894.08,53692.98,双边 Taker
4915,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-19 00:00:00,0.07863,2024-01-20 03:00:00,0.07845,76923.07,6048.46,100.0,4.35,4.62,9.5,43702.46,0.02,0.095,斜率转正平仓,53894.08,53702.47,双边 Taker
4912,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-18 15:00:00,100.74,2024-01-20 05:00:00,93.64,30.67,3089.7,99.98,2.15,2.15,215.61,43918.07,0.4,2.1564,斜率转正平仓,54080.86,53918.08,双边 Taker
4920,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-20 08:00:00,92.14,2024-01-20 19:00:00,92.06,29.76,2742.09,99.99,1.97,1.79,0.41,43918.48,0.0,0.0041,斜率转正平仓,53918.08,53918.49,双边 Taker
4921,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-20 22:00:00,91.12,2024-01-21 04:00:00,92.81,41.84,3812.46,100.0,2.77,2.51,-73.48,43845.0,-0.14,-0.7348,斜率转正平仓,53918.49,53845.01,双边 Taker
4919,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-20 08:00:00,0.07834,2024-01-21 07:00:00,0.08956,125000.0,9792.5,100.0,4.11,3.75,1398.39,45243.39,2.59,13.9839,14R,53918.08,55243.4,开仓 Maker / 平仓 Taker
4922,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-21 05:00:00,92.67,2024-01-21 10:00:00,92.87,44.05,4082.11,99.99,2.94,2.64,-11.75,45231.64,-0.02,-0.1175,斜率转正平仓,53845.01,55231.64,双边 Taker
4923,DOGE,DOGE 动态委托做多 最佳参数,多头,2,2024-01-21 11:00:00,0.08849,2024-01-21 11:00:00,0.08672,57471.26,5085.63,100.0,1.9,1.72,-103.63,45128.01,-0.19,-1.0363,止损,55231.64,55128.02,开仓 Maker / 平仓 Taker
4918,ETH,ETH 均线斜率做空 最佳参数,空头,0,2024-01-19 19:00:00,2487.45,2024-01-21 15:00:00,2476.48,3.27,8133.96,99.87,5.84,4.91,30.03,45158.04,0.06,0.3007,斜率转正平仓,53787.13,55158.04,双边 Taker
4924,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-21 16:00:00,0.0859,2024-01-22 08:00:00,0.0846,59171.59,5082.84,100.0,2.82,1.78,-79.75,45078.29,-0.14,-0.7975,止损,55158.04,55078.3,开仓 Maker / 平仓 Taker
4927,BTC,BTC 均线斜率做空 最佳参数,空头,0,2024-01-22 12:00:00,40779.6,2024-01-22 14:00:00,41202.2,0.25,10194.9,99.47,7.38,6.17,-113.03,44965.26,-0.21,-1.1362,止损,55078.3,54965.27,双边 Taker
4930,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-22 23:00:00,0.08377,2024-01-23 02:00:00,0.08251,81300.81,6810.57,100.0,2.56,2.44,-105.0,44860.26,-0.19,-1.05,止损,54965.27,54860.27,开仓 Maker / 平仓 Taker
4926,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-22 06:00:00,91.47,2024-01-23 20:00:00,80.84,56.49,5167.14,99.99,3.5,3.39,596.98,45457.24,1.08,5.9706,6R,55158.04,55457.25,双边 Taker
4928,ETH,ETH 均线斜率做空 最佳参数,空头,0,2024-01-22 15:00:00,2420.36,2024-01-23 23:00:00,2214.49,3.4,8229.22,99.82,5.67,4.76,694.28,46151.52,1.26,6.9551,7R,54965.27,56151.54,双边 Taker
4931,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-23 21:00:00,79.35,2024-01-23 23:00:00,82.8,29.49,2340.03,99.97,1.72,1.77,-103.46,46048.06,-0.19,-1.0349,止损,55457.25,56048.08,双边 Taker
4929,BTC,BTC 均线斜率做空 最佳参数,空头,0,2024-01-22 16:00:00,40955.1,2024-01-24 08:00:00,40186.1,0.21,8600.57,96.98,6.13,5.12,155.36,46203.42,0.28,1.602,斜率转正平仓,54965.27,56203.43,双边 Taker
4933,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-24 00:00:00,83.23,2024-01-24 08:00:00,85.55,28.08,2337.1,99.96,1.71,1.68,-66.85,46136.57,-0.12,-0.6688,斜率转正平仓,56048.08,56136.58,双边 Taker
4935,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-24 09:00:00,83.87,2024-01-24 11:00:00,83.58,28.81,2416.29,99.97,1.74,1.73,6.62,46143.19,0.01,0.0662,斜率转正平仓,56136.58,56143.2,双边 Taker
4925,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-22 04:00:00,0.08501,2024-01-24 13:00:00,0.07898,37174.72,3160.22,100.0,2.19,2.23,221.97,46365.16,0.4,2.2197,斜率转正平仓,55158.04,56365.17,双边 Taker
4934,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-24 09:00:00,0.07793,2024-01-25 12:00:00,0.07795,104166.66,8117.71,100.0,3.09,3.12,-1.0,46364.16,-0.0,-0.01,保本,56136.58,56364.17,开仓 Maker / 平仓 Taker
4932,ETH,ETH 均线斜率做空 最佳参数,空头,0,2024-01-24 00:00:00,2216.11,2024-01-26 06:00:00,2222.33,1.69,3745.23,99.52,2.7,2.26,-13.21,46350.95,-0.02,-0.1328,斜率转正平仓,56048.08,56350.95,双边 Taker
4937,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-25 11:00:00,0.07824,2024-01-26 09:00:00,0.0781,71428.57,5588.57,100.0,4.02,4.29,5.98,46356.93,0.01,0.0598,斜率转正平仓,56365.17,56356.93,双边 Taker
4938,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-26 03:00:00,87.72,2024-01-26 12:00:00,87.89,33.78,2963.18,99.99,2.14,2.03,-7.88,46349.05,-0.01,-0.0788,斜率转正平仓,56364.17,56349.06,双边 Taker
4941,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-26 15:00:00,86.98,2024-01-26 16:00:00,87.78,41.32,3594.01,99.99,2.6,2.48,-35.66,46313.39,-0.06,-0.3566,斜率转正平仓,56349.06,56313.4,双边 Taker
4942,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-27 20:00:00,92.04,2024-01-28 00:00:00,92.43,50.25,4625.01,100.0,3.34,3.02,-22.93,46290.46,-0.04,-0.2294,斜率转正平仓,56313.4,56290.46,双边 Taker
4943,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-01-28 22:00:00,2268.18,2024-01-29 03:00:00,2248.53,5.27,11953.31,99.97,4.51,3.58,-108.07,46182.39,-0.19,-1.081,止损,56290.46,56182.4,开仓 Maker / 平仓 Taker
4945,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-29 08:00:00,95.35,2024-01-29 09:00:00,96.97,36.23,3454.53,99.99,2.51,2.17,-61.2,46121.19,-0.11,-0.612,斜率转正平仓,56182.4,56121.2,双边 Taker
4944,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-29 02:00:00,0.0787,2024-01-29 17:00:00,0.07989,88495.57,6964.6,100.0,5.05,5.31,-110.36,46010.83,-0.2,-1.1036,止损,56290.46,56010.83,双边 Taker
4947,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-29 14:00:00,97.27,2024-01-29 18:00:00,97.7,35.71,3473.51,99.99,2.51,2.14,-17.86,45992.97,-0.03,-0.1786,斜率转正平仓,56121.2,55992.97,双边 Taker
4946,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-01-29 13:00:00,2266.43,2024-01-29 21:00:00,2246.1,5.08,11513.46,99.82,4.35,3.45,-107.62,45885.35,-0.19,-1.0781,止损,56121.2,55885.35,开仓 Maker / 平仓 Taker
4948,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-30 17:00:00,0.08105,2024-01-30 18:00:00,0.08154,73529.41,5959.56,100.0,4.3,4.41,-40.33,45845.02,-0.07,-0.4033,斜率转正平仓,55885.35,55845.02,双边 Taker
4936,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-01-25 02:00:00,86.32,2024-01-30 20:00:00,104.33,66.66,5754.09,99.99,2.52,2.67,1198.02,47043.04,2.13,11.9814,12R,56365.17,57043.04,开仓 Maker / 平仓 Taker
4949,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-30 20:00:00,0.08097,2024-01-31 05:00:00,0.08133,68027.21,5508.16,100.0,3.97,4.08,-28.46,47014.58,-0.05,-0.2846,斜率转正平仓,57043.04,57014.57,双边 Taker
4939,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-01-26 05:00:00,0.07792,2024-01-31 07:00:00,0.07986,156250.0,12175.0,100.0,4.71,4.69,298.41,47312.99,0.53,2.9841,3R,56364.17,57312.99,开仓 Maker / 平仓 Taker
4940,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-01-26 15:00:00,39988.4,2024-01-31 07:00:00,42706.2,0.25,9997.1,96.72,3.99,3.23,675.46,47988.45,1.2,6.9833,7R,56349.06,57988.45,开仓 Maker / 平仓 Taker
4950,SOL,SOL 动态委托做多 最佳参数,多头,2,2024-01-31 00:00:00,103.88,2024-01-31 07:00:00,102.23,62.11,6451.99,100.0,2.42,2.48,-104.9,47883.55,-0.18,-1.0491,止损,57043.04,57883.54,开仓 Maker / 平仓 Taker
4953,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-01-31 12:00:00,101.14,2024-01-31 12:00:00,100.77,62.11,6281.81,100.0,3.51,2.48,-26.49,47857.06,-0.05,-0.2649,止损,57883.54,57857.05,开仓 Maker / 平仓 Taker
4955,SOL,SOL 动态委托做多 最佳参数,多头,2,2024-01-31 14:00:00,101.1,2024-01-31 14:00:00,100.47,66.22,6694.84,99.99,3.74,2.65,-45.46,47811.6,-0.08,-0.4546,止损,57857.05,57811.6,开仓 Maker / 平仓 Taker
4954,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-01-31 13:00:00,42930.7,2024-01-31 18:00:00,42374.6,0.18,7727.53,97.79,2.91,2.3,-103.01,47708.59,-0.18,-1.0533,止损,57857.05,57708.59,开仓 Maker / 平仓 Taker
4956,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-01-31 17:00:00,2318.68,2024-01-31 18:00:00,2296.39,4.62,10712.3,99.79,4.04,3.19,-107.02,47601.57,-0.19,-1.0724,止损,57811.6,57601.57,开仓 Maker / 平仓 Taker
4957,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-01 02:00:00,0.07964,2024-02-01 04:00:00,0.07896,153846.15,12252.31,100.0,4.63,4.62,-109.24,47492.33,-0.19,-1.0924,止损,57601.57,57492.33,开仓 Maker / 平仓 Taker
4958,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-02-01 03:00:00,2318.86,2024-02-01 04:00:00,2289.16,3.44,7976.88,99.79,3.0,2.37,-105.17,47387.16,-0.18,-1.0539,止损,57601.57,57387.16,开仓 Maker / 平仓 Taker
4959,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-02-01 03:00:00,100.92,2024-02-01 04:00:00,99.03,53.76,5425.46,99.99,2.03,1.61,-103.64,47283.52,-0.18,-1.0365,止损,57601.57,57283.52,开仓 Maker / 平仓 Taker
4960,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-02-01 04:00:00,42985.8,2024-02-01 08:00:00,42265.0,0.14,6018.01,99.13,2.26,1.78,-103.17,47180.35,-0.18,-1.0407,止损,57283.52,57180.35,开仓 Maker / 平仓 Taker
4951,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-01-31 06:00:00,0.08019,2024-02-01 15:00:00,0.07887,73529.41,5896.32,100.0,4.21,4.41,92.85,47273.2,0.16,0.9285,斜率转正平仓,57014.57,57273.19,双边 Taker
4961,BTC,BTC 均线斜率做空 最佳参数,空头,0,2024-02-01 09:00:00,41971.4,2024-02-01 22:00:00,42663.5,0.13,5456.28,98.67,3.96,3.3,-93.93,47179.27,-0.16,-0.952,斜率转正平仓,57180.35,57179.26,双边 Taker
4962,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-02-01 20:00:00,0.07866,2024-02-02 01:00:00,0.07956,90090.09,7086.49,100.0,5.13,5.41,-86.21,47093.06,-0.15,-0.8621,斜率转正平仓,57273.19,57093.05,双边 Taker
4952,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-01-31 08:00:00,100.52,2024-02-02 03:00:00,97.89,30.86,3102.05,99.99,2.2,2.16,78.96,47172.02,0.14,0.7897,斜率转正平仓,57883.54,57172.01,双边 Taker
4966,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-02-02 21:00:00,100.24,2024-02-02 21:00:00,98.94,78.74,7892.9,100.0,2.97,2.36,-105.33,47066.69,-0.18,-1.0533,止损,57172.01,57066.67,开仓 Maker / 平仓 Taker
4965,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-02-02 21:00:00,2301.37,2024-02-02 22:00:00,2283.34,5.76,13255.89,99.88,5.01,3.97,-108.86,46957.83,-0.19,-1.0899,止损,57172.01,56957.81,开仓 Maker / 平仓 Taker
4964,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-02-02 21:00:00,42855.0,2024-02-03 01:00:00,42866.1,0.23,9856.65,97.84,3.75,2.97,-1.19,46956.64,-0.0,-0.0122,保本,57172.01,56956.62,开仓 Maker / 平仓 Taker
4967,SOL,SOL 动态委托做多 最佳参数,多头,2,2024-02-02 23:00:00,99.29,2024-02-03 02:00:00,98.46,68.96,6847.04,99.99,3.82,2.07,-61.06,46895.58,-0.11,-0.6106,止损,56957.81,56895.56,开仓 Maker / 平仓 Taker
4969,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-02-03 11:00:00,99.19,2024-02-03 17:00:00,99.27,40.0,3967.6,100.0,2.86,2.4,-6.06,46889.52,-0.01,-0.0606,斜率转正平仓,56895.56,56889.51,双边 Taker
4968,ETH,ETH 动态委托做多 最佳参数,多头,2,2024-02-03 00:00:00,2301.22,2024-02-03 19:00:00,2301.81,4.45,10240.43,99.81,3.89,3.12,-1.27,46888.25,-0.0,-0.0127,保本,56957.81,56888.24,开仓 Maker / 平仓 Taker
4970,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-02-03 18:00:00,99.24,2024-02-03 19:00:00,98.44,98.03,9728.5,99.99,5.43,2.94,-83.85,46804.4,-0.15,-0.8386,止损,56889.51,56804.39,开仓 Maker / 平仓 Taker
4972,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-02-03 22:00:00,2306.67,2024-02-03 23:00:00,2292.23,7.27,16769.49,99.96,6.34,5.02,-111.32,46693.08,-0.2,-1.1136,止损,56804.39,56693.07,开仓 Maker / 平仓 Taker
4963,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-02 00:00:00,0.07894,2024-02-04 08:00:00,0.07841,200000.0,15788.0,100.0,5.97,6.0,-111.97,46581.11,-0.2,-1.1197,止损,57179.26,56581.1,开仓 Maker / 平仓 Taker
4973,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-02-04 10:00:00,43018.3,2024-02-04 14:00:00,42745.1,0.38,16346.95,98.91,6.18,4.9,-110.0,46471.11,-0.19,-1.1121,止损,56581.1,56471.1,开仓 Maker / 平仓 Taker
4974,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-04 22:00:00,0.07893,2024-02-05 03:00:00,0.07895,322580.64,25461.29,100.0,9.68,9.68,-3.23,46467.88,-0.01,-0.0323,保本,56471.1,56467.87,开仓 Maker / 平仓 Taker
4975,DOGE,DOGE 动态委托做多 最佳参数,多头,2,2024-02-05 05:00:00,0.07925,2024-02-05 06:00:00,0.07876,217391.3,17228.26,100.0,6.52,6.52,-113.04,46354.84,-0.2,-1.1304,止损,56467.87,56354.83,开仓 Maker / 平仓 Taker
4976,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-02-05 08:00:00,0.07803,2024-02-05 15:00:00,0.07878,98039.21,7650.0,100.0,5.53,5.88,-79.06,46275.78,-0.14,-0.7906,斜率转正平仓,56354.83,56275.77,双边 Taker
4971,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-02-03 19:00:00,98.64,2024-02-05 18:00:00,97.97,47.84,4718.94,99.99,3.39,2.87,28.67,46304.45,0.05,0.2867,斜率转正平仓,56804.39,56304.44,双边 Taker
4977,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-05 22:00:00,0.07961,2024-02-05 23:00:00,0.07905,188679.24,15020.75,100.0,5.68,5.66,-111.34,46193.11,-0.2,-1.1134,止损,56304.44,56193.1,开仓 Maker / 平仓 Taker
4978,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-02-05 23:00:00,42941.2,2024-02-06 04:00:00,42449.2,0.2,8588.24,95.84,3.24,2.56,-101.64,46091.47,-0.18,-1.0605,止损,56193.1,56091.46,开仓 Maker / 平仓 Taker
4979,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-02-05 23:00:00,2304.77,2024-02-06 04:00:00,2284.85,5.2,11984.8,100.0,4.53,3.59,-108.11,45983.36,-0.19,-1.0811,止损,56193.1,55983.35,开仓 Maker / 平仓 Taker
4982,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-06 18:00:00,0.07855,2024-02-06 18:00:00,0.07815,270270.27,21229.73,100.0,8.04,8.11,-116.15,45867.21,-0.21,-1.1615,止损,55983.35,55867.21,开仓 Maker / 平仓 Taker
4980,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-02-06 11:00:00,96.0,2024-02-07 01:00:00,95.95,48.54,4659.84,99.99,3.35,2.91,-0.93,45866.28,-0.0,-0.0093,斜率转正平仓,55983.35,55866.28,双边 Taker
4981,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-02-06 15:00:00,0.07846,2024-02-07 01:00:00,0.07884,121951.21,9568.29,100.0,6.91,7.32,-53.25,45813.03,-0.1,-0.5325,斜率转正平仓,55983.35,55813.03,双边 Taker
4983,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-07 05:00:00,0.07889,2024-02-07 07:00:00,0.07847,256410.25,20228.2,100.0,7.66,7.69,-115.35,45697.68,-0.21,-1.1535,止损,55813.03,55697.68,开仓 Maker / 平仓 Taker
4984,DOGE,DOGE 动态委托做多 最佳参数,多头,2,2024-02-07 10:00:00,0.07878,2024-02-07 12:00:00,0.0784,285714.28,22508.57,100.0,8.52,8.57,-117.09,45580.59,-0.21,-1.1709,止损,55697.68,55580.59,开仓 Maker / 平仓 Taker
4987,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-02-07 23:00:00,96.24,2024-02-08 01:00:00,98.15,54.05,5201.77,99.99,3.78,3.24,-107.02,45473.57,-0.19,-1.0703,止损,55580.59,55473.57,双边 Taker
4985,BTC,BTC 动态委托做多 最佳参数,多头,1,2024-02-07 11:00:00,42955.9,2024-02-09 20:00:00,47332.7,0.25,10738.98,99.25,4.39,3.58,1089.81,46563.38,1.96,10.9805,11R,55697.68,56563.39,开仓 Maker / 平仓 Taker
4986,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-07 22:00:00,0.07864,2024-02-09 21:00:00,0.08186,312500.0,24575.0,100.0,9.62,9.38,996.63,47560.01,1.79,9.9663,10R,55580.59,57560.02,开仓 Maker / 平仓 Taker
4989,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-10 00:00:00,0.08147,2024-02-10 18:00:00,0.08088,156250.0,12729.69,100.0,7.1,4.69,-99.29,47460.72,-0.17,-0.9929,止损,57560.02,57460.72,开仓 Maker / 平仓 Taker
4991,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-02-11 01:00:00,107.82,2024-02-11 02:00:00,109.26,43.66,4707.42,99.98,3.41,3.49,-66.28,47394.44,-0.12,-0.6629,斜率转正平仓,57460.72,57394.44,双边 Taker
4990,DOGE,DOGE 均线斜率做空 最佳参数,空头,0,2024-02-10 17:00:00,0.081,2024-02-11 05:00:00,0.08165,121951.21,9878.05,100.0,7.14,7.32,-86.41,47308.03,-0.15,-0.8641,斜率转正平仓,57560.02,57308.03,双边 Taker
4993,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-02-11 07:00:00,108.96,2024-02-11 11:00:00,109.52,41.32,4502.23,99.99,3.25,3.31,-26.39,47281.64,-0.05,-0.2639,斜率转正平仓,57308.03,57281.64,双边 Taker
4992,DOGE,DOGE 动态委托做多 最佳参数,多头,1,2024-02-11 06:00:00,0.08128,2024-02-11 22:00:00,0.08167,270270.27,21967.57,100.0,8.38,8.11,97.03,47378.67,0.17,0.9703,1R,57308.03,57378.67,开仓 Maker / 平仓 Taker
4988,SOL,SOL 动态委托做多 最佳参数,多头,1,2024-02-08 19:00:00,101.01,2024-02-12 10:00:00,106.43,111.11,11223.22,100.0,4.43,4.44,597.78,47976.45,1.08,5.9779,6R,55473.57,57976.46,开仓 Maker / 平仓 Taker
4994,ETH,ETH 动态委托做多 最佳参数,多头,1,2024-02-12 04:00:00,2496.76,2024-02-12 10:00:00,2497.41,5.35,13357.67,99.88,5.08,4.01,-1.6,47974.85,-0.0,-0.016,保本,57378.67,57974.86,开仓 Maker / 平仓 Taker
4997,ETH,ETH 动态委托做多 最佳参数,多头,2,2024-02-12 12:00:00,2498.96,2024-02-12 17:00:00,2477.92,4.92,12294.88,99.83,4.64,3.69,-108.16,47866.69,-0.19,-1.0835,止损,57974.86,57866.7,开仓 Maker / 平仓 Taker
4995,SOL,SOL 均线斜率做空 最佳参数,空头,0,2024-02-12 04:00:00,107.33,2024-02-12 23:00:00,108.86,47.16,5061.68,99.98,3.67,3.77,-75.83,47790.86,-0.13,-0.7584,斜率转正平仓,57378.67,57790.87,双边 Taker
