symbol,combo,horizon_h,active_pct,flips,active_segments,median_active_run_h,whipsaw_active_le_6h_pct,bar_samples,bar_dir_mean_pct,bar_dir_win_pct,entry_signals,entry_dir_mean_pct,entry_dir_median_pct,entry_dir_win_pct
ETH-USDT-SWAP,trend_40/50/60_trigger_20/30/40,12,79.11799887419082,2011,1008,34.0,12.3015873015873,44977,0.059668767725350576,48.240211663739245,1007,0.18653290277000176,0.03609954981738106,50.84409136047666
ETH-USDT-SWAP,trend_40/50/60_trigger_20/30/40,24,79.11799887419082,2011,1008,34.0,12.3015873015873,44967,0.0914887952555222,47.984077212177816,1007,0.21248625261573337,0.015333175055398662,50.446871896722946
ETH-USDT-SWAP,trend_40/50/60_trigger_20/30/40,48,79.11799887419082,2011,1008,34.0,12.3015873015873,44943,0.13524830186593348,48.26780588745744,1007,0.19622034592429133,-0.07987220447283061,49.25521350546177
ETH-USDT-SWAP,trend_40/50/60_trigger_20/30/40,72,79.11799887419082,2011,1008,34.0,12.3015873015873,44919,0.1795819222336127,48.29136890847971,1007,0.09922448227108874,-0.3672794050800787,46.971201588877854
ETH-USDT-SWAP,trend_50/60/70_trigger_50/55/60,6,94.23550520686743,1173,605,65.0,7.768595041322314,53565,0.018009783140028567,49.130962382152525,605,0.09698334061909096,0.011294415288110038,50.413223140495866
ETH-USDT-SWAP,trend_50/60/70_trigger_50/55/60,12,94.23550520686743,1173,605,65.0,7.768595041322314,53559,0.025827238849214795,48.52965888086036,605,0.07783626844919925,0.015167126038817536,50.247933884297524
ETH-USDT-SWAP,trend_50/60/70_trigger_50/55/60,24,94.23550520686743,1173,605,65.0,7.768595041322314,53547,0.04081220441602784,48.07552243823183,605,-0.01082527238760665,-0.14101442501668338,48.09917355371901
ETH-USDT-SWAP,trend_50/60/70_trigger_50/55/60,48,94.23550520686743,1173,605,65.0,7.768595041322314,53523,0.06658982516659065,47.73275040636736,605,-0.07556739932417698,-0.2931740093743196,47.27272727272727
ETH-USDT-SWAP,trend_50/60/70_trigger_50/55/60,72,94.23550520686743,1173,605,65.0,7.768595041322314,53499,0.1275640466505894,48.32987532477242,605,-0.22434854829594325,-0.46082391197717065,46.44628099173554
ETH-USDT-SWAP,all_four_agree,6,74.94546861806923,1918,960,34.0,13.125,42605,0.03862154467357764,48.65860814458397,960,0.06412757413813855,-0.02624602734466186,48.854166666666664
ETH-USDT-SWAP,all_four_agree,12,74.94546861806923,1918,960,34.0,13.125,42605,0.07283488371092978,48.28541251026875,960,0.13263862960143707,0.026305242635116244,50.416666666666664
ETH-USDT-SWAP,all_four_agree,24,74.94546861806923,1918,960,34.0,13.125,42595,0.11072844836026025,48.0009390773565,960,0.17296262450988337,-0.07436515876275696,48.95833333333333
ETH-USDT-SWAP,all_four_agree,48,74.94546861806923,1918,960,34.0,13.125,42571,0.15250680204665348,48.31692936506072,960,0.14066176006736916,-0.23295537360646934,47.39583333333333
ETH-USDT-SWAP,all_four_agree,72,74.94546861806923,1918,960,34.0,13.125,42547,0.2100224770694778,48.52281006886502,960,0.04997406233507209,-0.3610151278048923,46.875
SOL-USDT-SWAP,trend_50/60/70_trigger_20/30/40,6,74.77313974591652,1535,770,35.5,10.25974025974026,35426,0.06910357635634012,49.026138993959236,769,0.11556024348033489,-0.027799399532979496,49.544863459037714
SOL-USDT-SWAP,trend_50/60/70_trigger_20/30/40,12,74.77313974591652,1535,770,35.5,10.25974025974026,35420,0.12853077085957393,49.3845285149633,769,0.060422585630896794,0.12919896640826156,52.53576072821846
SOL-USDT-SWAP,trend_50/60/70_trigger_20/30/40,24,74.77313974591652,1535,770,35.5,10.25974025974026,35408,0.23811488822627574,49.64697243560777,769,-0.02063553191682782,0.007173086579159715,50.06501950585176
SOL-USDT-SWAP,trend_50/60/70_trigger_20/30/40,48,74.77313974591652,1535,770,35.5,10.25974025974026,35399,0.5166054433363804,50.22175767677053,768,0.6514249743033976,0.3012498787983542,52.734375
SOL-USDT-SWAP,trend_50/60/70_trigger_20/30/40,72,74.77313974591652,1535,770,35.5,10.25974025974026,35375,0.6622170245540034,50.416961130742045,768,0.7453880695773935,-0.013710910234632223,50.0
SOL-USDT-SWAP,trend_40/50/60_trigger_20/30/40,6,79.07820875364031,1643,825,33.0,10.545454545454545,37466,0.07092870855805261,48.96172529760316,824,0.11687343006261108,-0.07730763709707933,48.907766990291265
SOL-USDT-SWAP,trend_40/50/60_trigger_20/30/40,12,79.07820875364031,1643,825,33.0,10.545454545454545,37460,0.12262723713303629,49.177789642285106,824,-0.011638092593610464,-0.05296112491003924,48.786407766990294
SOL-USDT-SWAP,trend_40/50/60_trigger_20/30/40,24,79.07820875364031,1643,825,33.0,10.545454545454545,37448,0.22711078569046708,49.57274086733604,824,0.02188519638744205,-0.11733755387058897,48.786407766990294
SOL-USDT-SWAP,trend_40/50/60_trigger_20/30/40,48,79.07820875364031,1643,825,33.0,10.545454545454545,37435,0.4770982965234297,50.15359957259249,823,0.608603441696267,0.2867640469576216,52.12636695018226
SOL-USDT-SWAP,trend_40/50/60_trigger_20/30/40,72,79.07820875364031,1643,825,33.0,10.545454545454545,37411,0.5883445756618956,50.11360295100371,823,0.5826702125616005,-0.09747776288534515,49.57472660996355
SOL-USDT-SWAP,trend_50/60/70_trigger_50/55/60,6,93.9433587979572,936,484,68.0,5.991735537190083,44510,0.052180879649847065,49.36868119523702,483,0.01632693543976802,-0.014764506127251664,49.4824016563147
SOL-USDT-SWAP,trend_50/60/70_trigger_50/55/60,12,93.9433587979572,936,484,68.0,5.991735537190083,44504,0.10874327695411443,49.615764875067406,483,-0.017400950135935823,0.20075578649031423,52.79503105590062
SOL-USDT-SWAP,trend_50/60/70_trigger_50/55/60,24,93.9433587979572,936,484,68.0,5.991735537190083,44492,0.2457416970019657,50.32140609547784,483,-0.16982197210461866,-0.013672409078480108,49.68944099378882
SOL-USDT-SWAP,trend_50/60/70_trigger_50/55/60,48,93.9433587979572,936,484,68.0,5.991735537190083,44472,0.4874461338883836,50.25858967440187,482,0.18978738344264637,0.3012498787983542,52.074688796680505
SOL-USDT-SWAP,trend_50/60/70_trigger_50/55/60,72,93.9433587979572,936,484,68.0,5.991735537190083,44448,0.6570311541561361,50.77168826493881,482,0.20936025484747534,-0.11620253574763373,49.79253112033195
SOL-USDT-SWAP,all_four_agree,6,74.66762334866839,1531,768,35.0,10.026041666666668,35376,0.06999727958209438,49.02476255088196,767,0.1475074569485122,0.015232292460021224,50.0651890482399
SOL-USDT-SWAP,all_four_agree,12,74.66762334866839,1531,768,35.0,10.026041666666668,35370,0.12830729903565813,49.37234944868533,767,0.07760052191681566,0.11322653694538776,52.411994784876136
SOL-USDT-SWAP,all_four_agree,24,74.66762334866839,1531,768,35.0,10.026041666666668,35358,0.23879055038997232,49.6436450025454,767,0.0021938064222951415,-0.004941443889894259,49.934810951760106
SOL-USDT-SWAP,all_four_agree,48,74.66762334866839,1531,768,35.0,10.026041666666668,35349,0.5175948584529383,50.23621601742624,766,0.6753575314061917,0.3948825306559711,53.00261096605744
SOL-USDT-SWAP,all_four_agree,72,74.66762334866839,1531,768,35.0,10.026041666666668,35325,0.6630836986195712,50.42604387827318,766,0.782206908175104,0.16072242066354492,50.391644908616186
DOGE-USDT-SWAP,trend_50/60/70_trigger_20/30/40,6,72.29570191772407,1751,877,33.0,12.542759407069557,37659,0.12867981880435084,47.67519052550519,875,0.024799627323754587,-0.04602102240304218,48.0
DOGE-USDT-SWAP,trend_50/60/70_trigger_20/30/40,12,72.29570191772407,1751,877,33.0,12.542759407069557,37659,0.24780527241618844,47.555697177301575,875,0.15363465155273684,-0.12043356081894441,47.08571428571429
