strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,exit_rule_name,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee
v5_a_baseline,2025-11-13 16:00:00+00:00,101301.83558000001,2025-11-23 16:00:00+00:00,87050.60664,106853.13417281146,0.09131448510468804,9250.324956147468,0.09124156617262394,506.9139726649568,1294.4639102533185,2.553616550453405,close_above_ema21,ema21_reclaim,61,10.166666666666666,2025-11-13 12:00:00+00:00,12957,13017,12956,101382.79453299136,102677.25844324469,3.700129982458987,3.179592529352935
v5_a_baseline,2025-12-15 16:00:00+00:00,86967.00312,2025-12-18 16:00:00+00:00,88497.29592,91615.23164384541,0.11044773069623208,9605.308140056135,0.09354854507890384,513.3862922162234,-176.7692205196533,-0.34432010203576535,close_above_ema21,ema21_reclaim,19,3.1666666666666665,2025-12-15 12:00:00+00:00,13149,13167,13148,102677.25844324469,102500.48922272504,3.8421232560224543,3.9097302028467675
v5_a_baseline,2025-12-18 20:00:00+00:00,84416.1134,2025-12-19 08:00:00+00:00,87927.48198,91888.41780649041,0.06858693359286432,5789.842363933503,0.05648599736292631,512.5024461136252,-245.56221110912333,-0.479143490867711,close_above_ema21,ema21_reclaim,4,0.6666666666666666,2025-12-18 16:00:00+00:00,13168,13171,13167,102500.48922272504,102254.92701161592,2.3159369455734016,2.4122705470200136
v5_a_baseline,2025-12-26 16:00:00+00:00,87077.38104000001,2025-12-28 00:00:00+00:00,87851.0667,90639.14196764816,0.14354546681932318,12499.563310790882,0.12223922774274691,511.2746350580796,-121.10314351244162,-0.23686515075930686,close_above_ema21,ema21_reclaim,9,1.5,2025-12-26 12:00:00+00:00,13215,13223,13214,102254.92701161592,102133.82386810347,4.999825324316353,5.044248952010799
v5_a_baseline,2026-01-29 04:00:00+00:00,87992.398,2026-02-07 04:00:00+00:00,70892.27562,91698.14648661288,0.13780458149961441,12125.755581537509,0.11872419069706837,510.66911934051734,2347.7171937861276,4.597335348606923,close_above_ema21,ema21_reclaim,55,9.166666666666666,2026-01-29 00:00:00+00:00,13416,13470,13415,102133.82386810347,104481.5410618896,4.850302232615004,3.9077121493477676
v5_a_baseline,2026-02-07 08:00:00+00:00,68064.3844,2026-02-08 12:00:00+00:00,70966.99056,74282.78795802436,0.08400993927699041,5718.084800369733,0.054728182052585034,522.407705309448,-248.5197741938136,-0.4757199629102005,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2026-02-07 04:00:00+00:00,13471,13478,13470,104481.5410618896,104233.02128769578,2.287233920147893,2.3847730270465406
v5_a_baseline,2026-02-27 12:00:00+00:00,66078.7816,2026-02-28 20:00:00+00:00,66335.46444,71360.92896252786,0.09866538562246145,6519.68846802641,0.06254916520198794,521.1651064384789,-30.55159245024562,-0.05862171521617803,close_above_ema21,ema21_reclaim,9,1.5,2026-02-27 08:00:00+00:00,13592,13600,13591,104233.02128769578,104202.46969524554,2.607875387210564,2.618005671767072
v5_a_baseline,2026-03-01 20:00:00+00:00,65917.41388000001,2026-03-02 04:00:00+00:00,66806.05854,69518.81918294619,0.1446691790146492,9536.218148788443,0.09151623926648211,521.0123484762278,-136.23989171434067,-0.2614907153598047,close_above_ema21,ema21_reclaim,3,0.5,2026-03-01 16:00:00+00:00,13606,13608,13605,104202.46969524554,104066.2298035312,3.8144872595153774,3.865911056874558
v5_a_baseline,2026-03-30 20:00:00+00:00,66508.1957,2026-03-31 04:00:00+00:00,67697.33676,69158.79634078039,0.19630688267865928,13056.016570449212,0.12545872561250598,520.331149017656,-243.97476243997923,-0.4688836386224124,close_above_ema21,ema21_reclaim,3,0.5,2026-03-30 16:00:00+00:00,13780,13782,13779,104066.2298035312,103822.25504109122,5.222406628179685,5.315781258001204
v5_a_baseline,2026-03-31 12:00:00+00:00,66640.16930000001,2026-03-31 20:00:00+00:00,67821.96168,69415.68483676147,0.18703237950927384,12463.869435079861,0.12005007433278017,519.1112752054561,-231.09294984175585,-0.4451703534088966,close_above_ema21,ema21_reclaim,3,0.5,2026-03-31 08:00:00+00:00,13784,13786,13783,103822.25504109122,103591.16209124947,4.985547774031945,5.073961150398874
v5_a_baseline,2026-04-02 04:00:00+00:00,66528.1917,2026-04-04 12:00:00+00:00,67143.32598,70415.28999345003,0.13324999044377914,8864.880908266907,0.08557564882280376,517.9558104562474,-89.09132831302693,-0.17200565475759372,close_above_ema21,ema21_reclaim,15,2.5,2026-04-02 00:00:00+00:00,13794,13808,13793,103591.16209124947,103502.07076293645,3.5459523633067627,3.578739018079419
v5_b_close_below_ema21,2021-05-21 16:00:00+00:00,36820.6344,2021-05-24 12:00:00+00:00,37592.517,45355.07055967795,0.05858617847097092,2157.1802583727713,0.021571802583727713,500.0,-46.96548462964,-0.09393096925928,close_above_ema21,ema21_reclaim,18,3.0,2021-05-21 12:00:00+00:00,3135,3152,3134,100000.0,99953.03451537035,0.8628721033491086,0.8809607640540033
v5_b_close_below_ema21,2021-12-16 16:00:00+00:00,48583.38138,2021-12-19 04:00:00+00:00,47721.64242,50624.55914755388,0.2448415716264453,11895.23145200618,0.11900820730136993,499.7651725768518,201.55773194505338,0.40330487798058534,close_above_ema21,ema21_reclaim,16,2.6666666666666665,2021-12-16 12:00:00+00:00,4389,4404,4388,99953.03451537035,100154.5922473154,4.758092580802471,4.673696772283217
v5_b_close_below_ema21,2021-12-31 20:00:00+00:00,45706.75682,2022-01-02 00:00:00+00:00,47732.74464,49557.17122790293,0.13005689990374716,5944.479096663654,0.05935303577478238,500.77296123657703,-268.354675867326,-0.5358809213753634,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2021-12-31 16:00:00+00:00,4480,4487,4479,100154.5922473154,99886.23757144807,2.3777916386654616,2.4831891167102413
v5_b_close_below_ema21,2022-01-03 16:00:00+00:00,46687.96054000001,2022-01-09 20:00:00+00:00,42690.43638,48792.70291031642,0.23728851326452846,11078.516743889573,0.11091134287609113,499.4311878572404,940.0831778961895,1.8823077147615117,close_above_ema21,ema21_reclaim,38,6.333333333333333,2022-01-03 12:00:00+00:00,4497,4534,4496,99886.23757144807,100826.32074934426,4.43140669755583,4.0519800716896555
v5_b_close_below_ema21,2022-01-11 12:00:00+00:00,41811.636,2022-01-11 20:00:00+00:00,42972.39276,43697.848285488115,0.2672719330826867,11175.076779069654,0.1108349158832351,504.13160374672134,-319.3018595884866,-0.6333700510252194,close_above_ema21,ema21_reclaim,3,0.5,2022-01-11 08:00:00+00:00,4544,4546,4543,100826.32074934426,100507.01888975577,4.470030711627862,4.594125792861461
v5_b_close_below_ema21,2022-01-26 20:00:00+00:00,37566.78514000001,2022-01-28 00:00:00+00:00,37167.9321,40035.38062126972,0.2035712607682086,7647.517813958206,0.07608939055636127,502.53509444877886,75.10947996935363,0.14946116360637415,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-01-26 16:00:00+00:00,4636,4643,4635,100507.01888975577,100582.12836972512,3.0590071255832822,3.0265291190976686
v5_b_close_below_ema21,2022-02-23 20:00:00+00:00,37610.57638,2022-02-25 00:00:00+00:00,38341.36674,40254.86242481025,0.19018768519224763,7153.068460458424,0.07111669415231298,502.91064184862563,-144.76537662834755,-0.2878550672465615,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-02-23 16:00:00+00:00,4804,4811,4803,100582.12836972512,100437.36299309677,2.8612273841833695,2.9168223149550534
