trade_id,symbol,timeframe,direction,cross_time,entry_time,exit_time,entry_price,exit_price,ema15_at_entry,ma50_at_entry,atr_at_entry,stop_price,qty,gross_pnl,fee,slippage,net_pnl,r_multiple,exit_reason,bars_after_cross,pullback_index,pullback_depth_pct,ema15_slope_5,ema15_slope_10,ma50_slope_10,daily_filter_pass,max_r_before_exit,max_drawdown_r,holding_bars
T0035,ETH-USDT-SWAP,4H,long,2022-05-31 12:00,2022-06-01 16:00,2022-06-02 00:00,1931.53,1881.42,1923.715233815465904951889901,1879.8066,46.59084462116965393863699111,1875.62,1.78,-89.1958,1.721332446,0,-90.917132446,-0.9135582310856734036844929351,EMA15收破离场,6,1,0.5570072756669646089309945188,0.009228640747657119347652950337,0.04292733438307676992611459943,-0.007167439458931573067144247711,true,0.7286710785190484707565730639,2.25183330352351994276515829,2
T0036,ETH-USDT-SWAP,4H,long,2022-06-23 16:00,2022-06-24 00:00,2022-06-27 08:00,1093.79,1197.7,1092.795757455492757457732489,1090.4402,49.34475466541616104934678461,1034.57,1.68,174.5688,1.00000404,0,173.56879596,1.744592359000337723741979061,EMA15收破离场,1,1,0.5715393213124854073834987878,-0.005437450331904173556808408483,-0.02142461593875732698982598831,-0.02082700179248710750025540144,true,3.195035460992907801418439716,0.1973995271867612293144208038,20
T0037,ETH-USDT-SWAP,4H,long,2022-07-05 16:00,2022-07-06 04:00,2022-07-09 20:00,1146.64,1210.19,1108.636215458263616618713621,1100.0494,37.21993413623397219591360854,1101.97,2.23,141.7165,1.355091612,0,140.361408388,1.409051614058652339377658384,EMA15收破离场,2,1,1.824423122412878171719864363,0.01898095602434743487456952633,0.04097958521234065242283176564,-0.01994237713324510699246779281,true,2.918289679874636221177524065,0.7911349899261249160510409671,22
T0038,ETH-USDT-SWAP,4H,long,2022-07-16 00:00,2022-07-17 00:00,2022-07-21 08:00,1274.42,1522.22,1198.619637376909332593569095,1159.779,40.26458034729397143373209496,1226.1,2.06,510.468,1.522674132,0,508.945325868,5.113014027317880794701986755,EMA15收破离场,5,1,0.2494233603123617664277695436,0.02215696207483524126979696168,0.06496459525090597711163991447,0.002588424173915892596779213971,true,7.472682119205298013245033113,0.04884105960264900662251655629,26
T0039,ETH-USDT-SWAP,4H,long,2022-08-06 08:00,2022-08-07 04:00,2022-08-07 12:00,1714.64,1683.6,1689.688891454494411872285754,1670.8566,40.76343452091202597569808116,1665.72,2.04,-63.3216,1.76111568,0,-65.08271568,-0.652152330335241210139002453,EMA15收破离场,4,1,0.2526436361204768472474519605,0.01615376688046900444556349675,0.03504496888767725507435768345,0.00255940575630487978441716662,true,0.201349141455437448896156991,0.9533932951757972199509403107,2
T0040,ETH-USDT-SWAP,4H,long,2022-09-27 08:00,2022-09-29 00:00,2022-09-29 16:00,1331.81,1321.99,1323.94147113041961677374591,1322.2288,38.58238978613588064411969112,1285.51,2.15,-21.113,1.452728985,0,-22.565728985,-0.2266887235421166306695464363,EMA15收破离场,9,1,2.321210703081926698727551843,-0.01272481497539139149080132541,0.004882204820596481543172131644,-0.0005884004341759913261607975866,true,0.551619870410367170626349892,0.4555075593952483801295896328,4
T0041,ETH-USDT-SWAP,4H,long,2022-10-05 00:00,2022-10-06 04:00,2022-10-07 08:00,1350.7,1351.95,1338.296229008120239496631925,1325.815,22.47055335823249385689613761,1323.73,3.7,4.625,2.5504359,0,2.0745641,0.02078950685947348906192065258,EMA15收破离场,6,1,0.8440753820618961449734749336,0.004010276643446709391392051458,0.01940163649114515614655226146,0.002328379147920335793455346334,true,1.229514275120504263997033741,0.2499073044123099740452354468,7
T0042,ETH-USDT-SWAP,4H,long,2022-10-23 00:00,2022-10-24 00:00,2022-10-28 12:00,1313.8,1508.12,1305.777172785824960582945009,1301.684,14.33070392349245318835360326,1296.6,5.81,1128.9992,4.299360492,0,1124.699839508,11.25465155813953488372093023,EMA15收破离场,5,1,0.5190144939787946561081689975,0.003575346351315534523988824813,0.008658590625500529436979583133,0.0005634239953782945784076626893,true,16.40697674418604651162790698,0.1686046511627906976744186047,27
T0043,ETH-USDT-SWAP,4H,long,2022-11-05 00:00,2022-11-06 12:00,2022-11-07 04:00,1621.58,1610.46,1615.541962838408767285912472,1590.2684,30.97654782780822000605184168,1584.4,2.68,-29.8016,2.205646968,0,-32.007246968,-0.3212211565357719203873050027,EMA15收破离场,8,1,0.2650480728390130794824774133,0.009571985140739855982340375721,0.0357768869213331324322480893,0.01333196333398814942182086999,true,0.4956966110812264658418504572,1.602474448628294782140935987,4
T0044,ETH-USDT-SWAP,4H,long,2022-11-25 04:00,2022-11-25 12:00,2022-11-28 08:00,1186.78,1193.91,1180.813003826176392545003242,1177.896,25.79328495015693179959213844,1155.82,3.22,22.9586,1.957195212,0,21.001404788,0.2106645801033591731266149871,EMA15收破离场,1,1,0.06885119180954346691648982848,0.01266329871885558997534813516,0.03007135850380839712606891434,-0.008995361220345429477644885457,true,1.583333333333333333333333333,0.9315245478036175710594315245,17
