strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee
strategy_c_dual_bear_pullback,2022-12-12 16:00:00+00:00,17006.598,2022-12-12 16:00:00+00:00,17908.98618983579,17905.405108814026,0.5606553612810102,9534.840345850907,0.09460649472632791,503.921024314067,-513.7590203754158,-1.019522892649181,stop_loss,1,1,2022-12-11 16:00:00+00:00,1111,1111,1110,100784.20486281339,100270.44584243797,3.813936138340363,4.016307648975603
strategy_c_dual_bear_pullback,2022-12-15 16:00:00+00:00,17427.61378,2023-01-04 16:00:00+00:00,16857.77088,18931.69680177275,0.33332749718914045,5809.102883266375,0.05793434779770131,501.35222921218985,185.37300306444763,0.3697460433271381,close_above_ema21,21,21,2022-12-14 16:00:00+00:00,1114,1134,1113,100270.44584243797,100455.81884550242,2.32364115330655,2.24766343024735
strategy_c_dual_bear_pullback,2023-05-24 16:00:00+00:00,26310.036939999998,2023-05-28 16:00:00+00:00,27277.4544,28576.93923394941,0.2215706850569364,5829.532908669102,0.05803081370164054,502.27909422751213,-219.10071621491608,-0.43621309095471195,close_above_ema21,5,5,2023-05-23 16:00:00+00:00,1274,1278,1273,100455.81884550242,100236.7181292875,2.3318131634676407,2.4175537032069374
strategy_c_dual_bear_pullback,2023-05-31 16:00:00+00:00,26904.618000000002,2023-06-03 16:00:00+00:00,27303.4596,29310.468916827216,0.20831863983799462,5604.733427120827,0.055914973392202645,501.18359064643755,-87.60316082035449,-0.17479255597207805,close_above_ema21,4,4,2023-05-30 16:00:00+00:00,1281,1284,1280,100236.7181292875,100149.11496846715,2.241893370848331,2.275127826697455
strategy_c_dual_bear_pullback,2023-06-05 16:00:00+00:00,25966.90558,2023-06-17 16:00:00+00:00,26423.2836,29287.947464664143,0.15077966259765374,3915.281262057532,0.03909451684411084,500.74557484233577,-71.97227389178035,-0.14373022450461287,close_above_ema21,13,13,2023-06-04 16:00:00+00:00,1286,1298,1285,100149.11496846715,100077.14269457538,1.566112504823013,1.5936375143720471
strategy_c_dual_bear_pullback,2023-08-31 16:00:00+00:00,26914.016120000004,2023-09-13 16:00:00+00:00,26249.34882,28938.062469553013,0.24722048167690533,6653.696029046396,0.06648567145199935,500.3857134728769,159.0621409856765,0.3178790614978227,close_above_ema21,14,14,2023-08-30 16:00:00+00:00,1373,1386,1372,100077.14269457538,100236.20483556106,2.6614784116185586,2.595750663594203
strategy_c_dual_bear_pullback,2023-09-21 16:00:00+00:00,26579.78298,2023-09-22 16:00:00+00:00,26640.327,28224.461989972595,0.3047287775540812,8099.624775148173,0.08080538153290744,501.18102417780534,-24.936584825009863,-0.04975564441195412,close_above_ema21,2,2,2023-09-20 16:00:00+00:00,1394,1395,1393,100236.20483556106,100211.26825073604,3.2398499100592693,3.2472297121403932
strategy_c_dual_bear_pullback,2023-09-25 16:00:00+00:00,26238.55124,2023-09-28 16:00:00+00:00,27033.70566,28124.750486661997,0.2656433789486444,6970.097410110744,0.06955402852173312,501.0563412536802,-216.88807584560377,-0.4328616524499693,close_above_ema21,4,4,2023-09-24 16:00:00+00:00,1398,1401,1397,100211.26825073604,99994.38017489044,2.788038964044298,2.872529966810198
strategy_c_dual_bear_pullback,2024-05-08 16:00:00+00:00,62268.64378,2024-05-13 16:00:00+00:00,63031.303739999996,68357.1620111998,0.08211717233799389,5113.324952535411,0.0511361232860506,499.9719008744522,-66.74319032438387,-0.13349388277151147,close_above_ema21,6,6,2024-05-07 16:00:00+00:00,1624,1629,1623,99994.38017489044,99927.63698456605,2.0453299810141647,2.0703809727624076
strategy_c_dual_bear_pullback,2024-08-27 16:00:00+00:00,61686.26028,2024-09-13 16:00:00+00:00,59670.33168,67691.23328812806,0.08320406840239628,5132.54781982514,0.051362645757528205,499.63818492283025,163.6945162573383,0.32762611264913855,close_above_ema21,18,18,2024-08-26 16:00:00+00:00,1735,1752,1734,99927.63698456605,100091.33150082339,2.0530191279300563,1.9859257434785575
strategy_c_dual_bear_pullback,2024-09-16 16:00:00+00:00,57876.222440000005,2024-09-17 16:00:00+00:00,61152.12798,62967.29135842946,0.09830090016901659,5689.2847642342385,0.056840933964270784,500.45665750411695,-326.7047010474353,-0.6528131780218105,close_above_ema21,2,2,2024-09-15 16:00:00+00:00,1755,1756,1754,100091.33150082339,99764.62679977596,2.2757139056936957,2.4045236910739622
strategy_c_dual_bear_pullback,2025-02-22 16:00:00+00:00,96575.98094000001,2025-03-23 16:00:00+00:00,85213.0392,102684.1272216437,0.08166522394821343,7886.899111483493,0.07905506555256521,498.82313399887977,922.0188454911791,1.8483883016805909,close_above_ema21,30,30,2025-02-21 16:00:00+00:00,1914,1943,1913,99764.62679977596,100686.64564526714,3.154759644593397,2.783576771830356
strategy_c_dual_bear_pullback,2025-03-28 16:00:00+00:00,84027.39116,2025-04-01 16:00:00+00:00,85312.75914,92190.64306808193,0.06167067167533045,5182.025651962924,0.0514668615559993,503.4332282263357,-83.4468350008034,-0.16575551696259314,close_above_ema21,5,5,2025-03-27 16:00:00+00:00,1948,1952,1947,100686.64564526714,100603.19881026633,2.0728102607851695,2.1045180634557945
strategy_c_dual_bear_pullback,2025-04-03 16:00:00+00:00,82031.5904,2025-04-11 16:00:00+00:00,82549.0065,92075.41205373152,0.050082131223870285,4108.316874915578,0.040836841407634585,503.0159940513317,-29.210319837882782,-0.05807035995539723,close_above_ema21,9,9,2025-04-02 16:00:00+00:00,1954,1962,1953,100603.19881026633,100573.98849042844,1.6433267499662314,1.6536920703732485
strategy_c_dual_bear_pullback,2025-09-04 16:00:00+00:00,109438.70788,2025-09-08 16:00:00+00:00,112622.41997999999,116472.80443180063,0.07149033834677955,7823.810254575569,0.07779158778534627,502.8699424521422,-233.9547452934869,-0.4652390718615126,close_above_ema21,5,5,2025-09-03 16:00:00+00:00,2108,2112,2107,100573.98849042844,100340.03374513495,3.129524101830228,3.220565963921322
strategy_c_dual_bear_pullback,2025-10-29 16:00:00+00:00,111437.30808,2025-12-03 16:00:00+00:00,92355.06732,120265.3467386247,0.05683030944087792,6333.016701444845,0.06311555283637629,501.70016872567476,1079.8170137138643,2.15231542866851,close_above_ema21,36,36,2025-10-28 16:00:00+00:00,2163,2198,2162,100340.03374513495,101419.85075884881,2.5332066805779383,2.099426821691485
strategy_c_dual_bear_pullback,2025-12-05 16:00:00+00:00,90388.51868000001,2025-12-09 16:00:00+00:00,92693.83506,98078.46613217938,0.06594313640602698,5960.502416853958,0.05877056978743294,507.0992537942441,-156.84900235587293,-0.3093063166279368,close_above_ema21,5,5,2025-12-04 16:00:00+00:00,2200,2204,2199,101419.85075884881,101263.00175649294,2.384200966741583,2.4450088837437383
strategy_c_dual_bear_pullback,2025-12-11 16:00:00+00:00,89807.73486,2025-12-22 16:00:00+00:00,89695.73556,98313.8882369111,0.05952338105691749,5345.6600239303925,0.05278986333809358,506.31500878246476,2.392715623668261,0.0047257450049170415,close_above_ema21,12,12,2025-12-10 16:00:00+00:00,2206,2217,2205,101263.00175649294,101265.39447211662,2.1382640095721572,2.135597378767354
strategy_c_dual_bear_pullback,2025-12-23 16:00:00+00:00,87382.42001999999,2025-12-30 16:00:00+00:00,88985.2935,93943.36904479229,0.07717282521892667,6743.548227410298,0.06659282040586068,506.3269723605831,-129.14259281198974,-0.2550576995926266,close_above_ema21,8,8,2025-12-22 16:00:00+00:00,2218,2225,2217,101265.39447211662,101136.25187930463,2.6974192909641195,2.7468986009321568
strategy_c_dual_bear_pullback,2026-01-07 16:00:00+00:00,91278.04074000001,2026-01-08 16:00:00+00:00,90750.34644,97300.42379205614,0.08396697038788924,7664.340543880128,0.07578232732044198,505.68125939652316,38.19514278352008,0.07553205121562528,close_above_ema21,2,2,2026-01-06 16:00:00+00:00,2233,2234,2232,101136.25187930463,101174.44702208815,3.0657362175520513,3.048012660887268
strategy_c_dual_bear_pullback,2026-01-20 16:00:00+00:00,90619.87240000001,2026-03-02 16:00:00+00:00,69096.41652,100362.41452070314,0.05192404906676772,4705.35070092183,0.0465073033697389,505.8722351104407,1114.267732630473,2.2026663163025915,close_above_ema21,42,42,2026-01-19 16:00:00+00:00,2246,2287,2245,101174.44702208815,102288.71475471862,1.8821402803687322,1.43510628868892
strategy_c_dual_bear_pullback,2026-03-06 16:00:00+00:00,68438.70951999999,2026-03-10 16:00:00+00:00,71319.7611,77484.44822588451,0.05653972443852307,3869.505777188925,0.03782925405278321,511.4435737735931,-166.054624593094,-0.32467828927420134,close_above_ema21,5,5,2026-03-05 16:00:00+00:00,2291,2295,2290,102288.71475471862,102122.66013012553,1.54780231087557,1.6129598558461191
strategy_c_dual_bear_pullback,2026-03-18 16:00:00+00:00,71422.11271999999,2026-03-21 16:00:00+00:00,70602.41766,79065.52570040674,0.06680435846650472,4771.308420581986,0.046721348763363056,510.61330065062765,50.964059566045,0.09980950261402549,close_above_ema21,4,4,2026-03-17 16:00:00+00:00,2303,2306,2302,102122.66013012553,102173.62418969157,1.9085233682327944,1.8866196871842096
