session_date,session_date_ts,symbol,entry_time_utc,entry_time_local,next_session_date,prev_day_open,prev_day_high,prev_day_low,prev_day_close,prev_day_volume,prev_day_color,prev_day_return_pct,prev_day_body_ratio,prev_day_upper_wick_ratio,prev_day_lower_wick_ratio,prev_day_trend_bucket,prev_day_breakout_bucket,prev_day_atr20,signal_time_utc,signal_time_local,signal_open,signal_high,signal_low,signal_close,signal_volume,signal_color,signal_return_pct,signal_range,signal_body,signal_body_ratio,signal_upper_wick_ratio,signal_lower_wick_ratio,signal_close_location,signal_strength_bucket,signal_wick_bucket,signal_volume_ratio_24,signal_volume_bucket,signal_breakout_bucket,same_direction_prev_day_and_signal,next_day_open,next_day_high,next_day_low,next_day_close,next_day_volume,next_day_color,next_day_return_pct,long_entry_price,long_stop_price,long_risk,long_stop_hit,long_hit_1r,long_hit_2r,long_first_touch,long_final_close_r,long_realized_r,long_mfe_r,long_mae_r,long_ambiguous_bars,short_entry_price,short_stop_price,short_risk,short_stop_hit,short_hit_1r,short_hit_2r,short_first_touch,short_final_close_r,short_realized_r,short_mfe_r,short_mae_r,short_ambiguous_bars
2020-01-06,2020-01-06 00:00:00+00:00,BTC-USDT-SWAP,2020-01-07 00:00:00+00:00,2020-01-07 08:00:00+00:00,2020-01-07,7359.4,7798.1,7347.9,7756.3,54061314.0,bull,0.05393102698589569,0.8816081741448243,0.09284762327854312,0.025544202576632567,sideways,close_break_prior_high,296.2954667675949,2020-01-06 23:00:00+00:00,2020-01-07 07:00:00+00:00,7713.1,7798.1,7695.0,7756.3,5295386.0,bull,0.0056008608730599985,103.10000000000036,43.19999999999982,0.41901066925314906,0.4054316197866153,0.1755577109602357,0.5945683802133848,medium,upper_rejection,2.5075278359102477,high_volume,wick_break_session_high,True,7756.4,8203.7,7727.1,8145.0,98215514.0,bull,0.05010056211644587,7756.3,7695.0,61.30000000000018,False,True,True,2r,6.340946166394758,6.340946166394758,7.2985318107667085,0.47634584013050135,0,7756.3,7798.1,41.80000000000018,True,False,False,stop,-9.299043062200912,-1.0,0.6985645933014281,10.703349282296617,0
2020-01-07,2020-01-07 00:00:00+00:00,BTC-USDT-SWAP,2020-01-08 00:00:00+00:00,2020-01-08 08:00:00+00:00,2020-01-08,7756.4,8203.7,7727.1,8145.0,98215514.0,bull,0.05010056211644587,0.8153587914393623,0.12316407889215418,0.06147712966848353,sideways,close_break_prior_high,305.3106934292152,2020-01-07 23:00:00+00:00,2020-01-08 07:00:00+00:00,8045.4,8203.7,8021.0,8145.0,7093544.0,bull,0.012379744947423443,182.70000000000073,99.60000000000036,0.5451559934318553,0.3212917350848412,0.13355227148330345,0.6787082649151588,medium,balanced,1.7657096508641037,high_volume,wick_break_session_high,True,8144.9,8473.0,7870.8,8053.0,153031174.0,bear,-0.011283134231236724,8145.0,8021.0,124.0,True,True,True,2r,-0.7419354838709677,-1.0,2.6451612903225805,2.2112903225806435,0,8145.0,8203.7,58.70000000000073,True,True,True,stop,1.5672913117546654,-1.0,4.671209540034011,5.587734241907937,1
2020-01-08,2020-01-08 00:00:00+00:00,BTC-USDT-SWAP,2020-01-09 00:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09,8144.9,8473.0,7870.8,8053.0,153031174.0,bear,-0.011283134231236724,0.15260710727333057,0.5448356027897716,0.30255728993689784,sideways,wick_break_prior_high,320.1551587577544,2020-01-08 23:00:00+00:00,2020-01-09 07:00:00+00:00,8074.0,8127.6,8026.1,8053.0,3546874.0,bear,-0.0026009412930393383,101.5,21.0,0.20689655172413793,0.5280788177339937,0.2650246305418683,0.2650246305418683,weak,upper_rejection,0.5436591399227595,low_volume,inside_session_range,True,8053.0,8053.0,7752.0,7817.7,99589214.0,bear,-0.029218924624363596,8053.0,8026.1,26.899999999999636,True,False,False,stop,-8.747211895910906,-1.0,0.0,11.189591078067066,0,8053.0,8127.6,74.60000000000036,False,True,True,1r,3.1541554959785394,3.1541554959785394,4.034852546916871,0.0,0
2020-01-09,2020-01-09 00:00:00+00:00,BTC-USDT-SWAP,2020-01-10 00:00:00+00:00,2020-01-10 08:00:00+00:00,2020-01-10,8053.0,8053.0,7752.0,7817.7,99589214.0,bear,-0.029218924624363596,0.7817275747508312,0.0,0.21827242524916884,sideways,close_break_prior_low,319.1974008198667,2020-01-09 23:00:00+00:00,2020-01-10 07:00:00+00:00,7811.7,7832.5,7791.1,7817.7,1626422.0,bull,0.000768078651253834,41.399999999999636,6.0,0.14492753623188534,0.35748792270532154,0.49758454106279315,0.6425120772946784,weak,two_sided,0.38453606969803245,low_volume,inside_session_range,False,7815.3,8201.3,7669.0,8200.8,124073190.0,bull,0.049326321446393484,7817.7,7791.1,26.599999999999454,True,True,True,1r,14.40225563909802,-1.0,14.421052631579222,5.590225563909883,1,7817.7,7832.5,14.800000000000182,True,True,True,stop,-25.88513513513478,-1.0,10.047297297297161,25.918918918918564,2
2020-01-10,2020-01-10 00:00:00+00:00,BTC-USDT-SWAP,2020-01-11 00:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11,7815.3,8201.3,7669.0,8200.8,124073190.0,bull,0.049326321446393484,0.7242156678564712,0.0009393199323689662,0.2748450122111598,sideways,close_break_prior_high,329.8525307788733,2020-01-10 23:00:00+00:00,2020-01-11 07:00:00+00:00,8090.3,8201.3,8067.5,8200.8,4822838.0,bull,0.013658331582265149,133.79999999999927,110.49999999999909,0.8258594917787719,0.003736920777279542,0.17040358744394848,0.9962630792227205,strong,balanced,0.9575711542401024,normal_volume,close_break_session_high,True,8200.8,8288.0,8006.1,8023.7,93004581.0,bear,-0.02159545410203878,8200.8,8067.5,133.29999999999927,True,False,False,stop,-1.3285821455363873,-1.0,0.6541635408852303,1.4606151537884469,0,8200.8,8201.3,0.5,True,True,True,2r,354.1999999999989,-1.0,389.3999999999978,174.40000000000146,5
2020-01-11,2020-01-11 00:00:00+00:00,BTC-USDT-SWAP,2020-01-12 00:00:00+00:00,2020-01-12 08:00:00+00:00,2020-01-12,8200.8,8288.0,8006.1,8023.7,93004581.0,bear,-0.02159545410203878,0.6282369634622195,0.3093295494856362,0.0624334870521443,sideways,wick_break_prior_high,327.4549042399296,2020-01-11 23:00:00+00:00,2020-01-12 07:00:00+00:00,8079.8,8079.8,8006.1,8023.7,2435235.0,bear,-0.0069432411693358675,73.69999999999982,56.100000000000364,0.7611940298507531,0.0,0.23880597014924693,0.23880597014924693,strong,balanced,0.6126879325878523,low_volume,wick_break_session_low,True,8023.6,8195.0,7956.5,8180.0,54794572.0,bull,0.019492497133456244,8023.7,8006.1,17.599999999999454,True,True,True,ambiguous_stop_first,8.880681818182104,-1.0,9.732954545454858,3.8181818181819263,1,8023.7,8079.8,56.100000000000364,True,True,False,1r,-2.7860962566844774,-1.0,1.197860962566834,3.0534759358288603,0
2020-01-12,2020-01-12 00:00:00+00:00,BTC-USDT-SWAP,2020-01-13 00:00:00+00:00,2020-01-13 08:00:00+00:00,2020-01-13,8023.6,8195.0,7956.5,8180.0,54794572.0,bull,0.019492497133456244,0.6557651991614241,0.06289308176100629,0.28134171907756966,sideways,wick_break_prior_low,323.0071590279331,2020-01-12 23:00:00+00:00,2020-01-13 07:00:00+00:00,8155.5,8180.0,8134.1,8180.0,1822009.0,bull,0.0030041076574092163,45.899999999999636,24.5,0.5337690631808322,0.0,0.4662309368191679,1.0,medium,lower_rejection,0.7892068910589084,normal_volume,inside_session_range,True,8179.9,8187.8,8056.4,8106.0,273641337.0,bear,-0.009034340273108454,8180.0,8134.1,45.899999999999636,True,False,False,stop,-1.6122004357298603,-1.0,0.16993464052288113,2.692810457516369,0,8180.0,8180.0,0.0,,,,invalid_risk,,,,,0
2020-01-13,2020-01-13 00:00:00+00:00,BTC-USDT-SWAP,2020-01-14 00:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14,8179.9,8187.8,8056.4,8106.0,273641337.0,bear,-0.009034340273108454,0.5624048706240437,0.06012176560122156,0.37747336377473484,sideways,inside_prior_day_range,313.4268010765365,2020-01-13 23:00:00+00:00,2020-01-14 07:00:00+00:00,8115.7,8136.4,8100.0,8106.0,7894815.0,bear,-0.001195214214423923,36.399999999999636,9.699999999999818,0.26648351648351415,0.5686813186813193,0.16483516483516647,0.16483516483516647,weak,upper_rejection,0.7081384320191226,low_volume,inside_session_range,True,8106.5,8895.6,8106.4,8828.1,1494067391.0,bull,0.08901498797261453,8106.0,8100.0,6.0,False,True,True,2r,120.35000000000007,120.35000000000007,131.60000000000005,-0.06666666666660603,0,8106.0,8136.4,30.399999999999636,True,False,False,stop,-23.753289473684507,-1.0,-0.013157894736830296,25.97368421052664,0
2020-01-14,2020-01-14 00:00:00+00:00,BTC-USDT-SWAP,2020-01-15 00:00:00+00:00,2020-01-15 08:00:00+00:00,2020-01-15,8106.5,8895.6,8106.4,8828.1,1494067391.0,bull,0.08901498797261453,0.9143436391282307,0.08552965027876322,0.00012671059300603613,sideways,close_break_prior_high,337.23546102270967,2020-01-14 23:00:00+00:00,2020-01-15 07:00:00+00:00,8747.1,8895.6,8735.7,8828.1,115368200.0,bull,0.009260211955962605,159.89999999999964,81.0,0.5065666041275809,0.4221388367729841,0.07129455909943504,0.577861163227016,medium,upper_rejection,1.9968619422980542,high_volume,wick_break_session_high,True,8825.8,8919.9,8572.7,8817.7,1944319087.0,bear,-0.0009177638287745093,8828.1,8735.7,92.39999999999964,True,False,False,stop,-0.11255411255410906,-1.0,0.9935064935064896,2.764069264069271,0,8828.1,8895.6,67.5,True,True,True,ambiguous_stop_first,0.15407407407406867,-1.0,3.7837037037036985,1.3599999999999892,2
2020-01-15,2020-01-15 00:00:00+00:00,BTC-USDT-SWAP,2020-01-16 00:00:00+00:00,2020-01-16 08:00:00+00:00,2020-01-16,8825.8,8919.9,8572.7,8817.7,1944319087.0,bear,-0.0009177638287745093,0.023329493087553485,0.2710253456221217,0.7056451612903248,sideways,wick_break_prior_high,337.7336879715741,2020-01-15 23:00:00+00:00,2020-01-16 07:00:00+00:00,8860.5,8875.5,8789.6,8817.7,71487696.0,bear,-0.004830427176795826,85.89999999999964,42.79999999999927,0.49825378346914384,0.17462165308498329,0.32712456344587293,0.32712456344587293,medium,balanced,0.8629438974670828,normal_volume,inside_session_range,True,8816.5,8854.7,8598.9,8723.6,915789253.0,bear,-0.010537061192082975,8817.7,8789.6,28.100000000000364,True,False,False,ambiguous_stop_first,-3.3487544483985463,-1.0,1.3167259786476697,7.78647686832734,1,8817.7,8875.5,57.79999999999927,False,True,True,1r,1.6280276816609265,1.6280276816609265,3.785467128027748,0.6401384083045063,0
2020-01-16,2020-01-16 00:00:00+00:00,BTC-USDT-SWAP,2020-01-17 00:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17,8816.5,8854.7,8598.9,8723.6,915789253.0,bear,-0.010537061192082975,0.3631743549648133,0.1493354182955456,0.4874902267396411,sideways,inside_prior_day_range,333.63700357299547,2020-01-16 23:00:00+00:00,2020-01-17 07:00:00+00:00,8722.0,8748.2,8715.4,8723.6,18215426.0,bull,0.00018344416418258902,32.80000000000109,1.6000000000003638,0.048780487804887515,0.7499999999999861,0.20121951219512635,0.2500000000000139,weak,upper_rejection,0.45112741928563804,low_volume,inside_session_range,False,8723.7,9041.0,8680.0,8916.6,1111912021.0,bull,0.02211217717252989,8723.6,8715.4,8.200000000000728,True,True,True,ambiguous_stop_first,23.536585365851572,-1.0,38.70731707316725,5.3170731707312795,2,8723.6,8748.2,24.600000000000364,True,True,False,1r,-7.845528455284437,-1.0,1.7723577235772243,12.902439024390038,0
2020-01-17,2020-01-17 00:00:00+00:00,BTC-USDT-SWAP,2020-01-18 00:00:00+00:00,2020-01-18 08:00:00+00:00,2020-01-18,8723.7,9041.0,8680.0,8916.6,1111912021.0,bull,0.02211217717252989,0.5343490304709131,0.3445983379501375,0.12105263157894938,sideways,close_break_prior_high,335.0051533943457,2020-01-17 23:00:00+00:00,2020-01-18 07:00:00+00:00,8945.8,8969.7,8911.5,8916.6,50422309.0,bear,-0.0032641015895726877,58.20000000000073,29.19999999999891,0.5017182130583943,0.41065292096221917,0.0876288659793866,0.0876288659793866,medium,upper_rejection,1.1208017572664362,normal_volume,inside_session_range,False,8916.5,8990.7,8823.0,8921.6,640601633.0,bull,0.0005719733079123657,8916.6,8911.5,5.100000000000364,True,True,True,ambiguous_stop_first,0.9803921568626751,-1.0,14.529411764704918,18.35294117646935,10,8916.6,8969.7,53.100000000000364,True,True,False,stop,-0.09416195856873759,-1.0,1.7627118644067745,1.3954802259886978,0
2020-01-18,2020-01-18 00:00:00+00:00,BTC-USDT-SWAP,2020-01-19 00:00:00+00:00,2020-01-19 08:00:00+00:00,2020-01-19,8916.5,8990.7,8823.0,8921.6,640601633.0,bull,0.0005719733079123657,0.030411449016102217,0.4120453190220636,0.5575432319618342,sideways,inside_prior_day_range,326.63989572462845,2020-01-18 23:00:00+00:00,2020-01-19 07:00:00+00:00,8949.9,8956.0,8915.3,8921.6,10976080.0,bear,-0.0031620465033127543,40.70000000000073,28.299999999999272,0.6953316953316651,0.14987714987715614,0.15479115479117883,0.15479115479117883,strong,balanced,0.38736379410895055,low_volume,inside_session_range,False,8921.6,9193.5,8450.0,8700.0,750798067.0,bear,-0.024838593974175094,8921.6,8915.3,6.300000000001091,True,True,True,ambiguous_stop_first,-35.17460317459714,-1.0,43.158730158722626,74.85714285712994,2,8921.6,8956.0,34.399999999999636,True,True,True,stop,6.441860465116358,-1.0,13.70930232558155,7.904069767441934,1
2020-01-19,2020-01-19 00:00:00+00:00,BTC-USDT-SWAP,2020-01-20 00:00:00+00:00,2020-01-20 08:00:00+00:00,2020-01-20,8921.6,9193.5,8450.0,8700.0,750798067.0,bear,-0.024838593974175094,0.2980497646267658,0.3657027572293203,0.3362474781439139,sideways,close_break_prior_low,347.482900938397,2020-01-19 23:00:00+00:00,2020-01-20 07:00:00+00:00,8640.4,8716.0,8624.8,8700.0,40466144.0,bull,0.0068978288042220726,91.20000000000073,59.600000000000364,0.6535087719298234,0.17543859649122667,0.17105263157894998,0.8245614035087734,medium,balanced,1.3464254548136492,normal_volume,inside_session_range,False,8697.5,8743.0,8531.1,8645.0,149580648.0,bear,-0.006036217303822977,8700.0,8624.8,75.20000000000073,True,False,False,stop,-0.7313829787233972,-1.0,0.5718085106382923,2.2460106382978458,0,8700.0,8716.0,16.0,True,True,True,ambiguous_stop_first,3.4375,-1.0,10.556249999999977,2.6875,2
2020-01-20,2020-01-20 00:00:00+00:00,BTC-USDT-SWAP,2020-01-21 00:00:00+00:00,2020-01-21 08:00:00+00:00,2020-01-21,8697.5,8743.0,8531.1,8645.0,149580648.0,bear,-0.006036217303822977,0.24775837659273284,0.21472392638036847,0.5375176970268987,sideways,inside_prior_day_range,340.7037558914771,2020-01-20 23:00:00+00:00,2020-01-21 07:00:00+00:00,8656.0,8683.2,8613.0,8645.0,3344807.0,bear,-0.0012707948243992906,70.20000000000073,11.0,0.15669515669515507,0.3874643874643938,0.45584045584045113,0.45584045584045113,weak,two_sided,0.4299652625546536,low_volume,inside_session_range,True,8645.0,8789.0,8485.0,8729.8,237362842.0,bull,0.009809138230190806,8645.0,8613.0,32.0,True,True,True,1r,2.6499999999999773,-1.0,4.5,5.0,1,8645.0,8683.2,38.20000000000073,True,True,True,stop,-2.219895287958054,-1.0,4.18848167539259,3.769633507853331,1
2020-01-21,2020-01-21 00:00:00+00:00,BTC-USDT-SWAP,2020-01-22 00:00:00+00:00,2020-01-22 08:00:00+00:00,2020-01-22,8645.0,8789.0,8485.0,8729.8,237362842.0,bull,0.009809138230190806,0.2789473684210502,0.19473684210526554,0.5263157894736842,sideways,wick_break_prior_high,338.86856809690323,2020-01-21 23:00:00+00:00,2020-01-22 07:00:00+00:00,8724.1,8751.7,8724.1,8729.8,4666797.0,bull,0.0006533625245008778,27.600000000000364,5.699999999998909,0.2065217391303925,0.7934782608696075,0.0,0.2065217391303925,weak,upper_rejection,0.4745073873907217,low_volume,inside_session_range,True,8730.9,8812.3,8590.0,8686.4,220114839.0,bear,-0.0050968399592252744,8729.8,8724.1,5.699999999998909,True,False,False,ambiguous_stop_first,-7.614035087720692,-1.0,14.473684210529088,24.526315789478254,7,8729.8,8751.7,21.900000000001455,True,True,True,1r,1.9817351598172033,-1.0,6.383561643835159,3.7671232876709824,0
