condition_group,condition_value,side,sample_count,conclusion_level,next_day_bull_rate,next_day_bear_rate,hit_stop_first_rate,hit_1R_first_rate,hit_2R_first_rate,hit_1R_rate,hit_2R_rate,stop_rate,avg_final_close_R,median_final_close_R,gross_expectancy_R,net_expectancy_R,net_median_R,positive_net_rate,avg_mfe_R,avg_mae_R,avg_risk_pct,ambiguous_bar_rate
phase2_simple_setup,bear__long_lower_bear__middle_area__shrinking_volume,long,94,conclusion_ok,0.574468085106383,0.425531914893617,0.5638297872340425,0.2765957446808511,0.1595744680851064,0.9042553191489362,0.776595744680851,0.925531914893617,0.06227289739026723,0.9266103432148043,0.34798765818885596,0.29798765818885603,-1.05,0.07446808510638298,8.120417066162952,9.171375576191267,0.003232331350310832,0.5851063829787234
changed_bull_to_bear,False,long,2314,conclusion_ok,0.5142610198789974,0.4857389801210026,0.6546637744034707,0.20130151843817787,0.14099783080260303,0.8893709327548807,0.7731019522776572,0.8850325379609545,-19.07489823370539,0.17999999999992725,0.347851481525614,0.29785148152561397,-1.05,0.11063094209161625,33.60181257446932,63.64169163402479,0.004004163156089495,0.5937770095073466
prev_3_days_bearish,False,long,2126,conclusion_ok,0.5075258701787394,0.4924741298212606,0.6636750118091639,0.19319792158715163,0.14029286726499765,0.8899385923476618,0.7751535191308455,0.8889938592347661,-16.6338152700131,0.08450704225351705,0.33851322691825114,0.28851322691825104,-1.05,0.10724365004703669,47.43431329689878,69.20793564132231,0.00386850165181026,0.6025399811853246
changed_bear_to_bull,False,long,2318,conclusion_ok,0.5120793787748059,0.48792062122519414,0.6608921611087051,0.19445647466435687,0.14161974880900824,0.8930272845387613,0.7812906019922045,0.8886964053702902,-15.097495115730235,0.15816326530612246,0.3382771044818415,0.2882771044818414,-1.05,0.10698878343399482,45.12083728890264,65.36390113168787,0.0038838426320037494,0.6082830025884383
break_prev_23h_high,False,long,2201,conclusion_ok,0.5156746933212176,0.4843253066787824,0.6624087591240876,0.19206204379562045,0.14324817518248176,0.896441605839416,0.7869525547445255,0.895529197080292,-15.777036784020433,0.19690490430614985,0.3368254287819176,0.2868254287819175,-1.05,0.10131758291685597,46.833622426225645,68.15314273467013,0.003622895175136171,0.6169922762380736
prev_day_color,bull,long,1214,conclusion_ok,0.48105436573311366,0.5189456342668863,0.6603305785123967,0.19504132231404958,0.14214876033057852,0.8727272727272727,0.7396694214876033,0.8876033057851239,14.269099392084328,-0.21263685166880586,0.33600525167918677,0.2860052516791867,-1.05,0.10790774299835255,30.77719702322679,28.38522224344661,0.004177381682090625,0.5700164744645799
phase2_core_setup,downtrend__kept_bear__long_lower_bear__low_area__no_breakout,long,34,conclusion_ok,0.5882352941176471,0.4117647058823529,0.6764705882352942,0.20588235294117646,0.11764705882352941,0.9117647058823529,0.8529411764705882,0.8823529411764706,2.171561138664912,1.6150116693527257,0.3343614197989149,0.28436141979891477,-1.05,0.11764705882352941,9.275591329881328,7.200580276158834,0.003580132821002383,0.6764705882352942
failed_down_breakout,False,long,2300,conclusion_ok,0.5082608695652174,0.4917391304347826,0.6630292448712353,0.19030990833697076,0.14404190309908338,0.8904408555216062,0.7791357485814056,0.8913138367525099,-15.219359590460716,0.09477263068424556,0.33115094074335416,0.28115094074335406,-1.05,0.10434782608695652,45.40436674252114,65.78655367965561,0.0038458514912950606,0.6095652173913043
doji_day,False,long,1943,conclusion_ok,0.5156973751930005,0.4843026248069995,0.6554752066115702,0.19886363636363635,0.14256198347107438,0.8925619834710744,0.7763429752066116,0.8853305785123967,-23.467729468608823,0.19629701060752608,0.3280208954947313,0.2780208954947312,-1.05,0.11065362840967576,36.53121247883474,73.09960863214611,0.004085832201777512,0.5970149253731343
temp_day_color_7h,bear,long,1155,conclusion_ok,0.548051948051948,0.45194805194805193,0.6434782608695652,0.21565217391304348,0.1373913043478261,0.9008695652173913,0.7973913043478261,0.88,-53.2314958467681,0.70488261892961,0.3276359020818747,0.2776359020818747,-1.05,0.11601731601731602,35.15148820839423,97.86068119508768,0.003945602620822276,0.6025974025974026
failed_up_breakout,False,long,2282,conclusion_ok,0.5144609991235758,0.4855390008764242,0.6572811262648482,0.1992960844698636,0.14034315882094148,0.8900131984161901,0.7747470303563573,0.8878134623845139,-15.205921492815614,0.17986896962478924,0.324606259747933,0.27460625974793285,-1.05,0.10780017528483786,45.24947435706101,65.80617188685007,0.003936488546159498,0.5999123575810692
big_bull_day,False,long,2134,conclusion_ok,0.5164011246485474,0.4835988753514527,0.6597647058823529,0.19952941176470587,0.1383529411764706,0.8955294117647059,0.7872941176470588,0.8908235294117647,-23.893934816006396,0.21566975568665922,0.32399560088669144,0.2739956008866914,-1.05,0.10543580131208997,37.80365451734003,60.8101199575691,0.003718607114671491,0.6110590440487348
breakout_type,no_breakout,long,2050,conclusion_ok,0.5117073170731707,0.48829268292682926,0.6648701616854483,0.1866731994120529,0.1464968152866242,0.897109260166585,0.7907888290053895,0.8995590396864283,-16.6058419504753,0.13243761996160439,0.3238480634572754,0.2738480634572754,-1.05,0.09707317073170732,49.43887914107862,71.54745312776124,0.003449320157352775,0.6273170731707317
trend_regime,uptrend,long,940,conclusion_ok,0.5223404255319148,0.4776595744680851,0.6488794023479189,0.19957310565635006,0.14941302027748132,0.8815368196371398,0.7726787620064034,0.8783351120597652,-21.612506100482957,0.2227362855254226,0.3228340123397666,0.2728340123397665,-1.05,0.11914893617021277,67.82124492243034,87.13690515999458,0.003927213968752876,0.5659574468085107
overall,all,long,2373,conclusion_ok,0.5115887062789718,0.48841129372102826,0.6582064297800339,0.19839255499153977,0.1404399323181049,0.8900169204737732,0.7758037225042301,0.8874788494077834,-14.739037966536147,0.13353928870420578,0.3226022890262283,0.27260228902622824,-1.05,0.10830172777075432,44.16093703624458,63.92430236275861,0.003946815318014232,0.6000842815002108
close_area,high_area,long,857,conclusion_ok,0.4597432905484247,0.5402567094515752,0.6507009345794392,0.1985981308411215,0.14719626168224298,0.8574766355140186,0.7219626168224299,0.8785046728971962,19.883057057074478,-0.5719443695478357,0.3223562851558873,0.27235628515588717,-1.05,0.11435239206534423,37.26493114379886,34.0015244669874,0.0048176124230550925,0.5414235705950992
temp_day_color_7h,bull,long,1218,conclusion_ok,0.47701149425287354,0.5229885057471264,0.6721581548599671,0.18204283360790774,0.14332784184514002,0.8797364085667215,0.7553542009884678,0.8945634266886326,21.7241634850839,-0.2879164654756321,0.3178340394265632,0.2678340394265632,-1.05,0.10098522167487685,52.69542315817862,31.776991277768136,0.0039479640838879955,0.5977011494252874
big_bull_day,True,long,239,conclusion_ok,0.4686192468619247,0.5313807531380753,0.6443514644351465,0.18828451882845187,0.1589958158995816,0.8410041841004184,0.6736401673640168,0.8577405857740585,66.65910347749852,-0.3485401459853795,0.3102140559572569,0.2602140559572569,-1.05,0.13389121338912133,100.6848924867558,91.61316265994581,0.00597586315108254,0.502092050209205
break_prev_23h_low,False,long,2222,conclusion_ok,0.5076507650765076,0.49234923492349236,0.6601897876186172,0.19385449615906009,0.14324446452779033,0.8901943063714415,0.7785811116131948,0.8906461816538636,-15.432600335851228,0.09252758274822946,0.30966306772902824,0.25966306772902825,-1.05,0.10486048604860486,46.38134076924404,66.76625112739504,0.003808833090395016,0.6084608460846085
