condition_group,condition_value,side,sample_count,conclusion_level,next_day_bull_rate,next_day_bear_rate,hit_stop_first_rate,hit_1R_first_rate,hit_2R_first_rate,hit_1R_rate,hit_2R_rate,stop_rate,avg_final_close_R,median_final_close_R,gross_expectancy_R,net_expectancy_R,net_median_R,positive_net_rate,avg_mfe_R,avg_mae_R,avg_risk_pct,ambiguous_bar_rate
break_prev_23h_high,False,long,1357,conclusion_ok,0.5121591746499632,0.48784082535003687,0.6440677966101694,0.2019159911569639,0.1518054532056006,0.887988209285188,0.7686072218128224,0.8960943257184967,0.35360226419527585,0.13243761996160439,0.08689301019870871,0.036893010198708616,-1.05,0.10243183492999262,8.539890257143753,8.974005168918954,0.00442686451663104,0.5895357406042742
phase2_simple_setup,bull__normal_bull__high_area__shrinking_volume,long,35,conclusion_ok,0.4857142857142857,0.5142857142857142,0.37142857142857144,0.45714285714285713,0.17142857142857143,0.9428571428571428,0.6571428571428571,0.8857142857142857,0.8334707333737493,-0.022871217452498475,0.08062431480029691,0.030624314800296933,-1.05,0.11428571428571428,5.533420035666041,4.520790385505303,0.0065262397737685775,0.45714285714285713
prev_3_days_bearish,False,long,1322,conclusion_ok,0.5030257186081695,0.4969742813918306,0.649016641452345,0.1989409984871407,0.14901664145234494,0.8774583963691377,0.7518910741301059,0.8888048411497731,0.33546397297311814,0.04099057970217676,0.07943550982102253,0.029435509821022485,-1.05,0.10816944024205749,8.187128082721497,8.587598052899214,0.004715784294849234,0.5703479576399395
breakout_type,no_breakout,long,1228,conclusion_ok,0.506514657980456,0.49348534201954397,0.6473941368078175,0.19381107491856678,0.15716612377850162,0.8892508143322475,0.7744299674267101,0.9014657980456026,0.4541614649665717,0.08780686187515946,0.07780223007909794,0.027802230079097864,-1.05,0.09690553745928339,8.712514739152578,9.003435826754252,0.004192364388612039,0.6042345276872965
prev_day_color,bear,long,733,conclusion_ok,0.5416098226466576,0.4583901773533424,0.645293315143247,0.21282401091405184,0.1377899045020464,0.8963165075034106,0.7871759890859482,0.888130968622101,0.8198563398257495,0.6893939393939764,0.07716825901864868,0.02716825901864858,-1.05,0.10914051841746249,9.124728163723566,9.082824353783629,0.004628277749557516,0.6043656207366985
failed_up_breakout,False,long,1419,conclusion_ok,0.5081042988019733,0.4918957011980268,0.6405919661733616,0.20930232558139536,0.14658210007047218,0.8787878787878788,0.751937984496124,0.8879492600422833,0.33844892004503924,0.09477263068424556,0.07351720524261303,0.023517205242612912,-1.05,0.10852713178294573,8.258583966078643,8.689263740785309,0.004806196723068105,0.5701198026779423
big_bull_day,True,long,175,conclusion_ok,0.45714285714285713,0.5428571428571428,0.6057142857142858,0.2057142857142857,0.17714285714285713,0.8342857142857143,0.6457142857142857,0.8571428571428571,-0.14743017160401495,-0.5048270313757032,0.07103817259878209,0.02103817259878194,-1.05,0.13142857142857142,6.4416611325844135,7.012067722718442,0.006888630651860636,0.48
volume_bucket,normal_volume,long,409,conclusion_ok,0.5134474327628362,0.48655256723716384,0.6356968215158925,0.23471882640586797,0.12469437652811736,0.8655256723716381,0.7188264058679706,0.863080684596577,0.16879663511231993,0.2227362855254226,0.07021297414122224,0.02021297414122203,-1.05,0.13447432762836187,7.494373926071065,8.056483167266384,0.005299221169462348,0.4938875305623472
last_hour_wick_type,long_upper_bull,long,366,conclusion_ok,0.4972677595628415,0.5027322404371585,0.6311475409836066,0.1994535519125683,0.16939890710382513,0.9016393442622951,0.7950819672131147,0.9043715846994536,1.1988823239339963,-0.06543305966672187,0.06727696219465021,0.017276962194650084,-1.05,0.09562841530054644,8.618543238384854,7.785294030646692,0.0037335488733010276,0.6229508196721312
prev_3_days_bullish,False,long,1334,conclusion_ok,0.5097451274362819,0.49025487256371814,0.643928035982009,0.20689655172413793,0.14617691154422788,0.8860569715142429,0.7631184407796102,0.8928035982008995,0.33505313398281183,0.11422595987964253,0.06514392007760213,0.01514392007760202,-1.05,0.10494752623688156,8.305269867130514,8.730415938108361,0.00469707269786362,0.5824587706146926
