mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
fixed,BNB-USDT-SWAP,1H,1小时,做空,55,0,2,1,2,165,52.73,-399.4274,-3.99,-0.0145,1366.7517,13.09,0.9499,0.8516,9600.57,656.5274,193.1235,463.4039,87,78,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x2 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,1H,1小时,做多,21,1,1,2,2,155,41.94,2740.8407,27.41,0.1768,1034.1930,7.82,1.2818,1.7748,12740.84,772.6302,226.8722,545.7580,65,90,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1 | TP x2 | 每波开仓1
fixed,SOL-USDT-SWAP,1H,1小时,做空,21,2,1,3,3,226,30.53,3208.9407,32.09,0.1420,2379.7474,17.43,1.1892,2.7057,13208.94,1116.9277,328.9662,787.9615,69,157,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x1 | TP x3 | 每波开仓2
fixed,DOGE-USDT-SWAP,1H,1小时,做多,55,1,1,3,3,134,28.36,816.1857,8.16,0.0609,1905.1300,17.40,1.0792,2.7263,10816.19,615.1597,180.7778,434.3819,38,96,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x1 | TP x3 | 每波开仓1
fixed,DOGE-USDT-SWAP,1H,1小时,做空,55,1,2,3,6,107,29.91,1674.6555,16.75,0.1565,1982.4777,15.65,1.2145,2.8464,11674.66,267.3641,78.8421,188.5219,32,75,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BTC-USDT-SWAP,4H,4小时,做多,21,1,1,3,3,140,34.29,4176.7647,41.77,0.3077,1251.0443,8.82,1.4468,2.7731,14176.76,539.3123,158.1219,381.1904,48,92,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1 | TP x3 | 每波开仓1
fixed,BTC-USDT-SWAP,4H,4小时,做空,21,1,2,3,6,89,30.34,1796.5532,17.97,0.1846,842.0864,7.09,1.3162,3.0224,11796.55,147.9798,43.7294,104.2504,27,62,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,ETH-USDT-SWAP,4H,4小时,做多,55,3,1.5,3,4.5,119,26.05,119.7942,1.20,0.0099,2748.7694,24.85,1.0133,2.8763,10119.79,239.3056,70.3460,168.9596,31,88,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓3
fixed,ETH-USDT-SWAP,4H,4小时,做空,55,2,2,3,6,99,28.28,1060.4142,10.60,0.1079,1604.0324,14.11,1.1465,2.9072,11060.41,145.3425,42.8755,102.4670,28,71,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | TP x6 | 每波开仓2
fixed,BNB-USDT-SWAP,4H,4小时,做多,21,2,1,3,3,160,32.50,3779.9593,37.80,0.2409,1121.6811,8.08,1.3466,2.7968,13779.96,587.2407,172.2555,414.9853,52,108,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x1 | TP x3 | 每波开仓2
fixed,BNB-USDT-SWAP,4H,4小时,做空,21,1,1.5,3,4.5,84,28.57,719.9038,7.20,0.1036,1493.0009,13.67,1.1219,2.8046,10719.90,198.4962,58.4785,140.0178,24,60,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1
fixed,SOL-USDT-SWAP,4H,4小时,做多,21,3,1,3,3,228,28.95,2859.2748,28.59,0.1254,1754.5257,12.94,1.1708,2.8737,12859.27,448.2959,131.5015,316.7944,66,162,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x1 | TP x3 | 每波开仓3
fixed,SOL-USDT-SWAP,4H,4小时,做空,21,1,1.5,3,4.5,109,34.86,4068.1337,40.68,0.3734,1030.3546,7.02,1.5593,2.9135,14068.13,145.7058,43.3008,102.4050,38,71,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1
fixed,DOGE-USDT-SWAP,4H,4小时,做多,21,3,1,3,3,216,26.85,871.3259,8.71,0.0403,2268.6624,17.27,1.0534,2.8695,10871.33,447.2718,131.4109,315.8609,58,158,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x1 | TP x3 | 每波开仓3
fixed,DOGE-USDT-SWAP,4H,4小时,做空,21,3,1,3,3,223,30.49,4083.1368,40.83,0.1831,1861.0885,12.06,1.2535,2.8572,14083.14,507.7558,149.8260,357.9297,68,155,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x1 | TP x3 | 每波开仓3
