mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,BNB-USDT-SWAP,1H,1小时,做多,21,0,2,-,-,134,29.10,3048.7392,30.49,0.2396,1299.0965,9.65,1.3552,3.3012,13048.74,529.0608,155.2273,373.8335,0,134,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,1H,1小时,做空,55,0,1,-,-,182,22.53,318.9874,3.19,0.0240,3549.6883,31.24,1.0235,3.5200,10318.99,1493.7126,439.5192,1054.1934,0,182,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,1H,1小时,做多,55,0,1,-,-,178,23.60,2098.2343,20.98,0.1179,1304.8113,10.32,1.1672,3.7794,12098.23,890.8484,261.6977,629.1506,0,178,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,1H,1小时,做空,21,0,1,-,-,296,25.00,4480.9809,44.81,0.1514,2777.1826,18.53,1.2127,3.6382,14480.98,1448.2945,426.5968,1021.6978,0,296,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,1H,1小时,做多,21,0,2,-,-,119,19.33,-97.3681,-0.97,-0.0082,1854.8633,16.56,0.9881,4.1242,9902.63,260.5614,76.6184,183.9430,0,119,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,1H,1小时,做空,55,0,2,-,-,115,25.22,5174.8745,51.75,0.4500,2030.7677,12.33,1.6451,4.8786,15174.87,280.9437,83.2082,197.7355,0,115,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,4H,4小时,做多,21,0,1.5,-,-,167,23.35,2436.7859,24.37,0.1525,1402.6720,11.08,1.2321,4.0438,12436.79,397.9821,116.7534,281.2287,0,167,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,4H,4小时,做空,55,0,1,-,-,186,24.73,2284.9861,22.85,0.1232,1098.1134,8.41,1.1875,3.6142,12284.99,703.7429,207.2997,496.4432,0,186,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,4H,4小时,做多,21,0,1,-,-,260,21.92,2320.2072,23.20,0.0892,2016.8048,16.37,1.1228,3.9989,12320.21,762.3705,223.9002,538.4703,0,260,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,4H,4小时,做空,55,0,2,-,-,106,25.47,2709.2242,27.09,0.2568,1289.5840,9.83,1.3691,4.0059,12709.22,154.4317,45.7243,108.7074,0,106,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,4H,4小时,做多,21,0,1,-,-,217,29.95,3571.9378,35.72,0.1640,1270.5276,9.22,1.2640,2.9558,13571.94,736.0622,216.0327,520.0294,0,217,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,4H,4小时,做空,55,0,1,-,-,131,28.24,1994.4700,19.94,0.1586,1907.7258,15.24,1.2167,3.0910,11994.47,529.5300,156.0114,373.5186,0,131,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
