symbol,bar,bar_label,direction,max_entries_per_trend,max_entries_label,dynamic_param,dynamic_max_entries_per_trend,dynamic_max_entries_label,dynamic_pnl,dynamic_max_drawdown,fixed_param,fixed_max_entries_per_trend,fixed_max_entries_label,fixed_pnl,fixed_max_drawdown,winner,pnl_gap
DOGE-USDT-SWAP,4H,4小时,做空,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,6693.8422,1224.6504,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,3535.7438,825.7294,dynamic,3158.0984
BTC-USDT-SWAP,5m,5分钟,做多,2,2,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓2,2,2,346.4928,3718.6857,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,391.9120,1899.3069,fixed,45.4192
BTC-USDT-SWAP,5m,5分钟,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-2788.6259,4610.9565,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-2504.9058,3691.9811,fixed,283.7200
ETH-USDT-SWAP,5m,5分钟,做多,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-632.4119,2948.2122,EMA21挂单 | SL x2 | TP x4 | 每波开仓2,2,2,-817.9302,2713.3879,dynamic,185.5182
ETH-USDT-SWAP,5m,5分钟,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-1770.5828,2904.3286,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-2938.5201,3217.0791,dynamic,1167.9373
BNB-USDT-SWAP,5m,5分钟,做多,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-4808.9195,5679.8449,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-4526.2939,4913.6373,fixed,282.6257
BNB-USDT-SWAP,5m,5分钟,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-3899.9638,4530.7710,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-4584.0028,5424.0792,dynamic,684.0390
SOL-USDT-SWAP,5m,5分钟,做多,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-1118.2292,4426.5338,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-681.6227,3880.3343,fixed,436.6065
SOL-USDT-SWAP,5m,5分钟,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,1395.3055,1803.2896,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-266.7286,1786.8558,dynamic,1662.0341
DOGE-USDT-SWAP,5m,5分钟,做多,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-1649.4478,2816.7368,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,-1438.2385,2941.3782,fixed,211.2094
DOGE-USDT-SWAP,5m,5分钟,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,-1069.8959,2647.3365,EMA21挂单 | SL x2 | TP x4 | 每波开仓2,2,2,-3568.7669,4077.6540,dynamic,2498.8710
BTC-USDT-SWAP,15m,15分钟,做多,2,2,EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓2,2,2,63.5337,2726.1511,EMA21挂单 | SL x2 | TP x4 | 每波开仓2,2,2,-746.5911,1937.9515,dynamic,810.1248
BTC-USDT-SWAP,15m,15分钟,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,3357.1092,846.2350,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,1611.2760,1291.7000,dynamic,1745.8333
ETH-USDT-SWAP,15m,15分钟,做多,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,772.2021,1696.6089,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,349.0526,1607.0007,dynamic,423.1494
ETH-USDT-SWAP,15m,15分钟,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,3129.5790,1534.8713,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,1317.5317,1218.6970,dynamic,1812.0473
BNB-USDT-SWAP,15m,15分钟,做多,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,1911.0549,1612.9106,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,1077.4983,1714.2530,dynamic,833.5566
BNB-USDT-SWAP,15m,15分钟,做空,2,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,2898.5679,1684.6486,EMA55挂单 | SL x2 | TP x6 | 每波开仓2,2,2,874.2488,1495.2462,dynamic,2024.3191
SOL-USDT-SWAP,15m,15分钟,做多,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,394.3390,2683.6251,EMA21挂单 | SL x2 | TP x6 | 每波开仓2,2,2,164.2591,3456.8594,dynamic,230.0798
SOL-USDT-SWAP,15m,15分钟,做空,2,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2,2,2,3611.2784,2024.1029,EMA21挂单 | SL x2 | TP x4 | 每波开仓2,2,2,1498.5555,1568.5216,dynamic,2112.7229
